step,elapsed_sec,agent,j_plus,j_minus,spsa_scalar,raw_spsa_scalar,param_l2,param_max_abs,params_finite,loss,cell_acc_all,cell_acc_missing,board_acc
1,8.178,0,-2.213449478149414,-2.213487386703491,3.790855407714844e-05,3.790855407714844e-05,70.6857450776811,1.0000380277633667,True,2.2128676027059555,0.4192949459876543,0.11250737028301887,0.0
500,1935.296,1,-2.2088849544525146,-2.209001064300537,5.160420412259066e-06,5.160420412259066e-06,70.68574256441015,1.0015889406204224,True,2.2088798135519028,0.4189332561728395,0.11195459905660378,0.0
1000,3882.475,1,-2.2075552940368652,-2.207735300064087,5.653104934398042e-06,5.653104934398042e-06,70.68636868780216,1.0016703605651855,True,2.207739606499672,0.41864390432098764,0.11151238207547169,0.0
1500,5822.026,1,-2.2075366973876953,-2.2072272300720215,-7.932189246449579e-06,-7.932189246449579e-06,70.6865526519016,1.0016430616378784,True,2.2072779536247253,0.4188126929012346,0.11177034198113207,0.0
2000,7761.616,1,-2.207174301147461,-2.207188129425049,3.0686832382123545e-07,3.0686832382123545e-07,70.68660127422709,1.0016963481903076,True,2.207010969519615,0.4189573688271605,0.11199145047169812,0.0
2500,9698.329,1,-2.206925392150879,-2.206974506378174,9.746290937731854e-07,9.746290937731854e-07,70.68664883695264,1.001643180847168,True,2.206813797354698,0.4188368055555556,0.11180719339622641,0.0
3000,11630.611,1,-2.2070212364196777,-2.207106590270996,1.545914153758239e-06,1.545914153758239e-06,70.68673135183545,1.0016230344772339,True,2.206662565469742,0.4190538194444444,0.11213885613207547,0.0
3500,13568.564,1,-2.2066755294799805,-2.206533908843994,-2.3743702941409553e-06,-2.3743702941409553e-06,70.68679643686175,1.001617193222046,True,2.206559970974922,0.4192949459876543,0.11250737028301887,0.0
4000,15524.208,1,-2.2065486907958984,-2.206522226333618,-4.149836808683946e-07,-4.149836808683946e-07,70.6868260074558,1.0016487836837769,True,2.2064719647169113,0.4193431712962963,0.11258107311320754,0.0
4500,17477.535,1,-2.206416368484497,-2.2064170837402344,1.0573088824044296e-08,1.0573088824044296e-08,70.68686821182175,1.0016826391220093,True,2.206397160887718,0.4193431712962963,0.11258107311320754,0.0
5000,19414.575,1,-2.206176280975342,-2.2060859203338623,-1.2670546094968675e-06,-1.2670546094968675e-06,70.6868713557096,1.0016865730285645,True,2.2063344419002533,0.41931905864197533,0.1125442216981132,0.0
