phase,step,elapsed_sec,train_loss,best_step,event,loss,cell_acc,board_acc,obj_ce,obj_prob_true,obj_margin,obj_soft_cell_acc,obj_soft_board_acc,obj_hard_cell_acc,obj_hard_board_acc,obj_entropy,objective
adam,1,1.488,0.6824626922607422,1,best,0.6599728316068649,0.6344468858506944,0.0,0.6599728316068649,0.5452339574694633,0.16253903694450855,0.5812694951891899,4.8880275014658414e-32,0.6344468891620636,0.0,0.6346063241362572,-0.6599728316068649
adam,250,55.815,0.27762699127197266,250,best,0.24021446146070957,0.9133436414930556,0.1484375,0.24021446146070957,0.8680760338902473,0.8140662610530853,0.9070331528782845,0.0911032878793776,0.9133436381816864,0.1484375,0.21827391348779202,-0.24021446146070957
adam,500,110.523,0.24786584079265594,250,,0.2534403819590807,0.9044528537326388,0.1484375,0.2534403819590807,0.8405999168753624,0.776424266397953,0.8882120922207832,0.05456656264141202,0.9044528603553772,0.1484375,0.27466993406414986,-0.2534403819590807
adam,750,166.062,0.2081453800201416,250,,0.24698984622955322,0.9027099609375,0.14453125,0.24698984622955322,0.8622298762202263,0.7895501554012299,0.8947750777006149,0.08673977665603161,0.9027099609375,0.14453125,0.2145846914499998,-0.24698984622955322
adam,1000,220.745,0.22466503083705902,250,,0.2377686556428671,0.9102579752604166,0.1416015625,0.2377686556428671,0.8463680297136307,0.7863195836544037,0.8931597769260406,0.06143062049522996,0.9102579653263092,0.1416015625,0.27124935388565063,-0.2377686556428671
adam,1250,276.009,0.24293725192546844,1250,best,0.24242783710360527,0.91064453125,0.1640625,0.24242783710360527,0.8718844801187515,0.8069145902991295,0.903457298874855,0.10342066083103418,0.9106445461511612,0.1640625,0.19818342477083206,-0.24242783710360527
adam,1500,331.252,0.21517428755760193,1250,,0.23377997055649757,0.9132486979166666,0.1533203125,0.23377997055649757,0.8725261315703392,0.8115111067891121,0.9057555869221687,0.09662351477891207,0.9132487028837204,0.1533203125,0.20398994348943233,-0.23377997055649757
adam,1750,386.095,0.2417898178100586,1250,,0.24128952249884605,0.9108615451388888,0.140625,0.24128952249884605,0.8603123798966408,0.7993723154067993,0.8996861726045609,0.06863929564133286,0.9108615443110466,0.140625,0.23400631360709667,-0.24128952249884605
adam,2000,439.455,0.2673673629760742,1250,,0.2438255473971367,0.9073621961805556,0.154296875,0.2438255473971367,0.8568555638194084,0.7947745248675346,0.8973872661590576,0.06885270169004798,0.9073621928691864,0.154296875,0.23932839557528496,-0.2438255473971367
adam,2250,493.943,0.2501056492328644,1250,,0.2332088202238083,0.9145779079861112,0.146484375,0.2332088202238083,0.8590863645076752,0.8059741780161858,0.9029870703816414,0.062157715670764446,0.9145779013633728,0.146484375,0.24594966135919094,-0.2332088202238083
