step,elapsed_sec,best_agent,best_loss,best_cell_acc,best_board_acc,avg_cell_acc,avg_board_acc,theta_spread,j_plus_1,j_minus_1,j_plus_2,j_minus_2,j_plus_3,j_minus_3,j_plus,j_minus,update_norm,theta_l2,theta_max_abs,theta_finite
1,2.393,2,0.7096995264291763,0.3820393880208333,0.0,0.3654106987847222,0.0,0.0007783810142427683,-0.7125018239021301,-0.7127097249031067,-0.7124395370483398,-0.7128496170043945,-0.7124086022377014,-0.7130095362663269,-0.7125018239021301,-0.7127097249031067,0.0011054775677621365,26.36647605895996,1.0034379959106445,True
250,237.372,2,0.7093133181333542,0.3868136935763889,0.0,0.3732130262586806,0.0,0.0006392776849679649,-0.7110908031463623,-0.7111004590988159,-0.7110881805419922,-0.7111069560050964,-0.7110872864723206,-0.711114227771759,-0.7110908031463623,-0.7111004590988159,3.236944030504674e-05,26.36606216430664,1.0029855966567993,True
500,476.289,1,0.7106796950101852,0.3751491970486111,0.0,0.3708530002170139,0.0,0.0005949807236902416,-0.7078422904014587,-0.7079973220825195,-0.7077639698982239,-0.7080738544464111,-0.7076855301856995,-0.7081493735313416,-0.7078422904014587,-0.7079973220825195,1.986322422453668e-05,26.36493682861328,1.0021421909332275,True
750,718.917,1,0.7099947333335876,0.381591796875,0.0,0.3723585340711805,0.0,0.0005647348589263856,-0.7105860114097595,-0.7096262574195862,-0.7110870480537415,-0.7091686725616455,-0.7116014957427979,-0.7087265849113464,-0.7105860114097595,-0.7096262574195862,1.52985976455966e-05,26.364904403686523,1.0020757913589478,True
1000,960.326,3,0.7109766453504562,0.380126953125,0.0,0.37601725260416663,0.0,0.0005412533646449447,-0.710692822933197,-0.7096161246299744,-0.7112299799919128,-0.7090770602226257,-0.7117660045623779,-0.7085376381874084,-0.710692822933197,-0.7096161246299744,1.252048878086498e-05,26.36574363708496,1.0024888515472412,True
1250,1201.791,1,0.7107993364334106,0.3742268880208333,0.0,0.3694254557291667,0.0,0.0005218767328187823,-0.7123624086380005,-0.7126889824867249,-0.7121884226799011,-0.7128419876098633,-0.7120072841644287,-0.7129884362220764,-0.7123624086380005,-0.7126889824867249,1.0083198503707536e-05,26.36484718322754,1.001973032951355,True
1500,1442.009,3,0.7123004049062729,0.36767578125,0.0,0.3620232476128472,0.0,0.0005052991909906268,-0.7104049324989319,-0.7104476094245911,-0.7103577852249146,-0.7104427814483643,-0.7102940678596497,-0.7104209065437317,-0.7104049324989319,-0.7104476094245911,8.699212230567355e-06,26.36566925048828,1.0023659467697144,True
1750,1680.435,0,0.7109697014093399,0.3750135633680556,0.0,0.3707987467447917,0.0,0.0004907693364657462,-0.7100409269332886,-0.7105962634086609,-0.7097868919372559,-0.71089768409729,-0.7095485329627991,-0.7112147212028503,-0.7100409269332886,-0.7105962634086609,7.854662726458628e-06,26.36435317993164,1.0004693269729614,True
2000,1918.843,3,0.7114884555339813,0.3750949435763889,0.0,0.35990397135416663,0.0,0.00047781478497199714,-0.7141175866127014,-0.7131196856498718,-0.7146173119544983,-0.712621808052063,-0.7151173949241638,-0.7121250033378601,-0.7141175866127014,-0.7131196856498718,7.369238574028714e-06,26.3656063079834,1.002306342124939,True
2250,2157.209,3,0.712086871266365,0.3692898220486111,0.0,0.3644273546006944,0.0,0.00046611163998022676,-0.7127677202224731,-0.7129936218261719,-0.7126624584197998,-0.7131140232086182,-0.7125623822212219,-0.7132391333580017,-0.7127677202224731,-0.7129936218261719,6.3100164879870135e-06,26.36558723449707,1.0022739171981812,True
2500,2395.647,0,0.7114397138357162,0.3702392578125,0.0,0.3633863661024306,0.0,0.0004554309416562319,-0.710885763168335,-0.7109590172767639,-0.7108425498008728,-0.71098792552948,-0.7107957601547241,-0.7110109329223633,-0.710885763168335,-0.7109590172767639,5.767417860624846e-06,26.364215850830078,1.0005528926849365,True
2750,2634.759,2,0.7106454819440842,0.3753119574652778,0.0,0.3708428276909722,0.0,0.00044560356764122844,-0.7089552283287048,-0.709012508392334,-0.7089320421218872,-0.7090458273887634,-0.7089129686355591,-0.7090817093849182,-0.7089552283287048,-0.709012508392334,5.328702172846533e-06,26.36561393737793,1.002366065979004,True
3000,2873.382,0,0.7113604545593262,0.3712836371527778,0.0,0.3689202202690972,0.0,0.000436500646173954,-0.709631085395813,-0.7097928524017334,-0.7095531821250916,-0.7098761796951294,-0.7094775438308716,-0.7099606990814209,-0.709631085395813,-0.7097928524017334,4.962869297742145e-06,26.36421012878418,1.000588059425354,True
3250,3111.281,3,0.7109658867120743,0.3787977430555556,0.0,0.3728400336371528,0.0,0.00042802037205547094,-0.7124611735343933,-0.7123332619667053,-0.7125246524810791,-0.71226966381073,-0.7125871181488037,-0.7122068405151367,-0.7124611735343933,-0.7123332619667053,4.634404831449501e-06,26.365612030029297,1.0021581649780273,True
3500,3349.443,3,0.7117550373077393,0.3720974392361111,0.0,0.3635999891493056,0.0,0.0004200807015877217,-0.7141734957695007,-0.7136034965515137,-0.7144525647163391,-0.7133138179779053,-0.714726984500885,-0.713021993637085,-0.7141734957695007,-0.7136034965515137,4.484259079617914e-06,26.365633010864258,1.00212824344635,True
3750,3586.477,3,0.7107112407684326,0.3810492621527778,0.0,0.3752916124131944,0.0,0.00041261568549089134,-0.7135673761367798,-0.7129107117652893,-0.7138798832893372,-0.7125686407089233,-0.7141806483268738,-0.7122188210487366,-0.7135673761367798,-0.7129107117652893,4.277909738448216e-06,26.365646362304688,1.0020978450775146,True
4000,3823.71,1,0.7103424370288849,0.3791639539930556,0.0,0.371490478515625,0.0,0.0004055720055475831,-0.7114896178245544,-0.7108621597290039,-0.7117912769317627,-0.7105368375778198,-0.7120845317840576,-0.7102041244506836,-0.7114896178245544,-0.7108621597290039,4.032104698126204e-06,26.3649845123291,1.00171959400177,True
4250,4060.883,0,0.7099571526050568,0.3843451605902778,0.0,0.37393188476562494,0.0,0.00039890504558570683,-0.7088009715080261,-0.708668053150177,-0.7088679075241089,-0.7086024880409241,-0.7089350819587708,-0.708537757396698,-0.7088009715080261,-0.708668053150177,3.676496589832823e-06,26.36421012878418,1.0005927085876465,True
4500,4297.921,3,0.7116257399320602,0.3726128472222222,0.0,0.3662889268663194,0.0,0.0003925768833141774,-0.7124297022819519,-0.7124022245407104,-0.712443470954895,-0.7123882174491882,-0.7124574184417725,-0.7123738527297974,-0.7124297022819519,-0.7124022245407104,3.490772769509931e-06,26.365697860717773,1.0020239353179932,True
4750,4535.465,1,0.7101369798183441,0.3808051215277778,0.0,0.374359130859375,0.0,0.0003865552134811878,-0.7111641764640808,-0.7121167778968811,-0.7106773853302002,-0.7125818133354187,-0.7101843357086182,-0.7130388021469116,-0.7111641764640808,-0.7121167778968811,3.6809799439652124e-06,26.36503791809082,1.001715064048767,True
5000,4772.365,3,0.7114652991294861,0.3739284939236111,0.0,0.370330810546875,0.0,0.0003808106412179768,-0.7137265801429749,-0.714024007320404,-0.7135840654373169,-0.7141783237457275,-0.7134461998939514,-0.7143359184265137,-0.7137265801429749,-0.714024007320404,3.214758862668532e-06,26.3657283782959,1.0020196437835693,True
5250,5010.165,0,0.7113424688577652,0.3715006510416667,0.0,0.3650716145833333,0.0,0.0003753206110559404,-0.711895227432251,-0.7122296690940857,-0.711724579334259,-0.7123937606811523,-0.7115517258644104,-0.7125558853149414,-0.711895227432251,-0.7122296690940857,3.0873150080878986e-06,26.36421775817871,1.0005919933319092,True
5500,5247.635,2,0.7116246223449707,0.3665907118055556,0.0,0.3634270562065972,0.0,0.00037006294587627053,-0.7130089998245239,-0.7123751044273376,-0.713322639465332,-0.7120569944381714,-0.7136330008506775,-0.7117394208908081,-0.7130089998245239,-0.7123751044273376,3.0814185265626293e-06,26.365764617919922,1.0020383596420288,True
5750,5484.434,2,0.7107496559619904,0.3746337890625,0.0,0.37143961588541663,0.0,0.0003650195139925927,-0.7109353542327881,-0.7111896872520447,-0.710799515247345,-0.7113076448440552,-0.7106584906578064,-0.7114190459251404,-0.7109353542327881,-0.7111896872520447,2.8266420031286543e-06,26.36577796936035,1.0020121335983276,True
6000,5721.946,2,0.7124241143465042,0.3594563802083333,0.0,0.3580525716145833,0.0,0.0003601752105168998,-0.7111257910728455,-0.7110050320625305,-0.7111906409263611,-0.7109488844871521,-0.7112583518028259,-0.7108955979347229,-0.7111257910728455,-0.7110050320625305,2.6994846393790795e-06,26.365787506103516,1.0019830465316772,True
6250,5959.106,2,0.7089324742555618,0.3916422526041667,0.0,0.3678826226128472,0.0,0.0003555133589543402,-0.7119366526603699,-0.7116591930389404,-0.7120786309242249,-0.7115241885185242,-0.7122226357460022,-0.7113916873931885,-0.7119366526603699,-0.7116591930389404,2.6271113711118232e-06,26.365798950195312,1.001962423324585,True
6500,6195.801,2,0.7106248289346695,0.3757731119791667,0.0,0.3664991590711806,0.0,0.00035102208494208753,-0.7123722434043884,-0.7117822170257568,-0.7126712203025818,-0.7114936113357544,-0.7129714488983154,-0.7112106680870056,-0.7123722434043884,-0.7117822170257568,2.6407565201225225e-06,26.365819931030273,1.0019484758377075,True
6750,6432.399,2,0.7090338468551636,0.3903944227430556,0.0,0.3719312879774306,0.0,0.0003466897760517895,-0.7107375264167786,-0.7104085683822632,-0.7109065651893616,-0.7102488279342651,-0.711078405380249,-0.7100922465324402,-0.7107375264167786,-0.7104085683822632,2.461426220179419e-06,26.365835189819336,1.0019452571868896,True
7000,6668.101,2,0.7105419337749481,0.3768853081597222,0.0,0.3696933322482639,0.0,0.0003425055474508554,-0.7117655873298645,-0.7119967341423035,-0.7116434574127197,-0.7121050357818604,-0.7115176320075989,-0.7122080326080322,-0.7117655873298645,-0.7119967341423035,2.3587110717926407e-06,26.365854263305664,1.001944661140442,True
7250,6903.457,0,0.711559072136879,0.3696695963541667,0.0,0.36225043402777773,0.0,0.00033846136648207903,-0.7116037011146545,-0.7114537358283997,-0.7116829752922058,-0.7113831639289856,-0.7117650508880615,-0.7113158702850342,-0.7116037011146545,-0.7114537358283997,2.2688680019200547e-06,26.36431121826172,1.0006011724472046,True
7500,7138.826,0,0.7103033065795898,0.3811848958333333,0.0,0.3669264051649306,0.0,0.0003345472796354443,-0.7128317356109619,-0.7128609418869019,-0.7128098011016846,-0.7128680944442749,-0.7127829790115356,-0.7128700613975525,-0.7128317356109619,-0.7128609418869019,2.1895755253353855e-06,26.364334106445312,1.0006020069122314,True
7750,7374.171,2,0.7100855857133865,0.3806694878472222,0.0,0.37307400173611105,0.0,0.0003307561855763197,-0.7091497778892517,-0.7091600894927979,-0.7091465592384338,-0.7091672420501709,-0.7091444730758667,-0.7091758847236633,-0.7091497778892517,-0.7091600894927979,2.1223122530500405e-06,26.36590003967285,1.0019482374191284,True
8000,7609.565,3,0.7105182856321335,0.3817545572916667,0.0,0.36544121636284727,0.0,0.0003270799934398383,-0.7126470804214478,-0.7124955058097839,-0.7127106189727783,-0.7124074101448059,-0.7127661108970642,-0.7123112678527832,-0.7126470804214478,-0.7124955058097839,2.0684549326688284e-06,26.365907669067383,1.0020034313201904,True
8250,7845.4,2,0.7107172161340714,0.3750678168402778,0.0,0.3686760796440972,0.0,0.0003235133190173656,-0.7148599624633789,-0.7148926258087158,-0.7148473262786865,-0.7149128317832947,-0.714836835861206,-0.7149359583854675,-0.7148599624633789,-0.7148926258087158,1.999785354200867e-06,26.365921020507812,1.0019478797912598,True
8500,8080.045,3,0.711437463760376,0.3736436631944444,0.0,0.3675808376736111,0.0,0.00032004990498535335,-0.7114392518997192,-0.7116497755050659,-0.7113310694694519,-0.7117511034011841,-0.7112216949462891,-0.7118489742279053,-0.7114392518997192,-0.7116497755050659,1.9600099676608806e-06,26.365924835205078,1.002003788948059,True
8750,8320.97,2,0.7115314453840256,0.3674994574652778,0.0,0.36360677083333337,0.0,0.0003166839014738798,-0.7088465094566345,-0.7087911367416382,-0.7088868618011475,-0.7087750434875488,-0.7089363932609558,-0.708765983581543,-0.7088465094566345,-0.7087911367416382,1.8913092389993835e-06,26.36594009399414,1.0019460916519165,True
9000,8552.797,1,0.710248127579689,0.3805202907986111,0.0,0.3697035047743055,0.0,0.000313410593662411,-0.7114666700363159,-0.7113076448440552,-0.7115455865859985,-0.7112281918525696,-0.7116234302520752,-0.7111494541168213,-0.7114666700363159,-0.7113076448440552,1.8487598936189897e-06,26.36530876159668,1.0017099380493164,True
9250,8784.624,3,0.7112710922956467,0.3751220703125,0.0,0.3688930935329861,0.0,0.0003102246846538037,-0.7128982543945312,-0.7132149338722229,-0.712737500667572,-0.7133700847625732,-0.7125757932662964,-0.7135224938392639,-0.7128982543945312,-0.7132149338722229,1.8315515717404196e-06,26.36592674255371,1.0020145177841187,True
9500,9016.419,1,0.7110978811979294,0.372314453125,0.0,0.3651055230034722,0.0,0.00030712326406501234,-0.7132680416107178,-0.7136143445968628,-0.713090181350708,-0.7137823700904846,-0.712909460067749,-0.7139465808868408,-0.7132680416107178,-0.7136143445968628,1.791870204215229e-06,26.36531639099121,1.0017112493515015,True
