step,elapsed_sec,j_plus_1,j_minus_1,plus1_obj_ce,plus1_obj_prob_true,plus1_obj_margin,plus1_obj_soft_cell_acc,plus1_obj_soft_board_acc,plus1_obj_hard_cell_acc,plus1_obj_hard_board_acc,plus1_obj_entropy,plus1_objective,minus1_obj_ce,minus1_obj_prob_true,minus1_obj_margin,minus1_obj_soft_cell_acc,minus1_obj_soft_board_acc,minus1_obj_hard_cell_acc,minus1_obj_hard_board_acc,minus1_obj_entropy,minus1_objective,j_plus_2,j_minus_2,plus2_obj_ce,plus2_obj_prob_true,plus2_obj_margin,plus2_obj_soft_cell_acc,plus2_obj_soft_board_acc,plus2_obj_hard_cell_acc,plus2_obj_hard_board_acc,plus2_obj_entropy,plus2_objective,minus2_obj_ce,minus2_obj_prob_true,minus2_obj_margin,minus2_obj_soft_cell_acc,minus2_obj_soft_board_acc,minus2_obj_hard_cell_acc,minus2_obj_hard_board_acc,minus2_obj_entropy,minus2_objective,j_plus_3,j_minus_3,plus3_obj_ce,plus3_obj_prob_true,plus3_obj_margin,plus3_obj_soft_cell_acc,plus3_obj_soft_board_acc,plus3_obj_hard_cell_acc,plus3_obj_hard_board_acc,plus3_obj_entropy,plus3_objective,minus3_obj_ce,minus3_obj_prob_true,minus3_obj_margin,minus3_obj_soft_cell_acc,minus3_obj_soft_board_acc,minus3_obj_hard_cell_acc,minus3_obj_hard_board_acc,minus3_obj_entropy,minus3_objective,j_plus,j_minus,raw_scalar,scalar,param_l2,param_max_abs,params_finite,loss,cell_acc,board_acc,obj_ce,obj_prob_true,obj_margin,obj_soft_cell_acc,obj_soft_board_acc,obj_hard_cell_acc,obj_hard_board_acc,obj_entropy,objective
1,1.001,0.0,0.0,0.6900621056556702,0.5015847682952881,0.006338575854897499,0.5031692981719971,1.4293244336113134e-43,0.6478407382965088,0.0,0.6930625438690186,0.0,0.6883971691131592,0.5023964643478394,0.009584585204720497,0.504792332649231,2.1579996350602183e-43,0.6573079228401184,0.0,0.6931040287017822,0.0,0.0,0.0,0.6860403418540955,0.5038862228393555,0.015540404245257378,0.5077702403068542,1.1883010977474449e-42,0.6478407382965088,0.0,0.6924811601638794,0.0,0.6983700394630432,0.49767717719078064,-0.009296491742134094,0.49535179138183594,1.0421456679183665e-41,0.3534613847732544,0.0,0.692569375038147,0.0,0.0,0.0,0.6813521981239319,0.5097052454948425,0.039301589131355286,0.5196507573127747,5.296585896501014e-40,0.6478407382965088,0.0,0.6856629252433777,0.0,0.7786434888839722,0.47073301672935486,-0.11285604536533356,0.4435719847679138,3.998609316390021e-24,0.3521592915058136,0.0,0.6673901677131653,0.0,0.0,0.0,0.0,0.0,19.05397119697985,0.9999999403953552,True,0.6853652447462082,0.6231282552083334,0.0,0.6853652447462082,0.5039710700511932,0.015876074554398656,0.5079380422830582,9.02085886409101e-43,0.6231282502412796,0.0,0.6929855644702911,0.0
250,68.05,0.0,0.0,0.6862869262695312,0.5035140514373779,0.014049245044589043,0.5070245265960693,5.983544442666969e-43,0.6418185830116272,0.0,0.6929782032966614,0.0,0.685029149055481,0.5041202902793884,0.0164747666567564,0.508237361907959,7.875297369505472e-43,0.6418185830116272,0.0,0.6930236220359802,0.0,0.0,0.0,0.6850293278694153,0.5042158961296082,0.01684962958097458,0.5084248185157776,1.1378543530317515e-42,0.6418185830116272,0.0,0.6928309798240662,0.0,0.6882586479187012,0.5025374889373779,0.010146656073629856,0.5050733089447021,3.3911422836660573e-43,0.6418185830116272,0.0,0.6929600834846497,0.0,0.0,0.0,0.682341456413269,0.5057737231254578,0.02305614948272705,0.5115280747413635,4.195487602188502e-42,0.6418185830116272,0.0,0.6923994421958923,0.0,0.6876826882362366,0.5031470656394958,0.012603984214365482,0.506301999092102,9.234556879900544e-43,0.6418185830116272,0.0,0.692320704460144,0.0,0.0,0.0,0.0,0.0,19.05414710365877,1.0007199048995972,True,0.6850842088460922,0.6315511067708334,0.0,0.6850842088460922,0.5041015297174454,0.01639860519208014,0.5081993192434311,8.498875186130016e-43,0.6315511018037796,0.0,0.6930059045553207,0.0
500,136.589,0.0,0.0,0.6984104514122009,0.49750837683677673,-0.00996515154838562,0.495017409324646,1.301806273357755e-42,0.35693359375,0.0,0.6928675770759583,0.0,0.6788895130157471,0.5074087977409363,0.029583236202597618,0.5147916078567505,9.010349125608574e-42,0.64306640625,0.0,0.6925788521766663,0.0,0.0,0.0,0.7166557908058167,0.4894489645957947,-0.04197857901453972,0.4790107011795044,1.1088141799687154e-37,0.35693359375,0.0,0.6907822489738464,0.0,0.6785705089569092,0.5076647996902466,0.03059079870581627,0.5152953863143921,1.2390281021560033e-41,0.64306640625,0.0,0.6923831701278687,0.0,0.0,0.0,0.7285386919975281,0.48461389541625977,-0.06086951494216919,0.4695652425289154,4.423725894437829e-35,0.35693359375,0.0,0.6886560916900635,0.0,0.675929605960846,0.5096840262413025,0.0385596789419651,0.5192797780036926,1.1979280181973564e-40,0.64306640625,0.0,0.6909701824188232,0.0,0.0,0.0,0.0,0.0,19.054133091216414,1.0008165836334229,True,0.6850201040506363,0.6323784722222222,0.0,0.6850201040506363,0.5041300803422928,0.016513245878741145,0.5082566142082214,8.42180377059215e-43,0.632378488779068,0.0,0.6930129528045654,0.0
750,205.011,0.0,0.0,0.6830722093582153,0.5051498413085938,0.020583968609571457,0.5102919936180115,1.8749373452666052e-42,0.6259494423866272,0.0,0.6929200887680054,0.0,0.6850305199623108,0.5041360259056091,0.016535559669137,0.5082677602767944,9.248569864543793e-43,0.6259494423866272,0.0,0.6929904222488403,0.0,0.0,0.0,0.6815827488899231,0.5060170292854309,0.024031348526477814,0.5120156407356262,4.6074693506999985e-42,0.6259494423866272,0.0,0.692671537399292,0.0,0.6862372159957886,0.5034945011138916,0.013974434696137905,0.5069872140884399,5.170791333358575e-43,0.6383192539215088,0.0,0.6930674910545349,0.0,0.0,0.0,0.6796113848686218,0.5073249340057373,0.0292098056524992,0.5146048665046692,1.8296754048689136e-41,0.6259494423866272,0.0,0.6920188069343567,0.0,0.6851093769073486,0.5040996074676514,0.01638905517756939,0.5081945061683655,1.0089348943138683e-42,0.6209852695465088,0.0,0.6929842829704285,0.0,0.0,0.0,0.0,0.0,19.054103202312067,1.0011104345321655,True,0.6850328594446182,0.6335856119791666,0.0,0.6850328594446182,0.5041172504425049,0.016462656669318676,0.5082313269376755,7.822748677093291e-43,0.6335856169462204,0.0,0.6930260211229324,0.0
1000,273.366,0.0,0.0,0.6896539330482483,0.5017558932304382,0.007023135665804148,0.5035116076469421,1.401298464324817e-43,0.7105034589767456,0.0,0.6931287050247192,0.0,0.6892207860946655,0.501979410648346,0.007915623486042023,0.5039578080177307,1.401298464324817e-43,0.592529296875,0.0,0.6931145191192627,0.0,0.0,0.0,0.7007344961166382,0.4963743984699249,-0.014491668902337551,0.492754191160202,1.4615542982907842e-42,0.3631727397441864,0.0,0.692812979221344,0.0,0.695975661277771,0.4987039566040039,-0.00518845533952117,0.4974057972431183,7.861284384862224e-43,0.3631998598575592,0.0,0.6929100751876831,0.0,0.0,0.0,0.7106665372848511,0.49206939339637756,-0.03161308541893959,0.48419347405433655,3.321821449934373e-39,0.3631998598575592,0.0,0.6915091872215271,0.0,0.6929799318313599,0.5000872015953064,0.00034879628219641745,0.5001744031906128,4.764414778704378e-44,0.5299479365348816,0.0,0.6931400895118713,0.0,0.0,0.0,0.0,0.0,19.05430433998853,1.0012829303741455,True,0.6851008534431458,0.6329210069444444,0.0,0.6851008534431458,0.504077360033989,0.01630391599610448,0.5081519782543182,7.335797460740417e-43,0.6329210102558136,0.0,0.6930378824472427,0.0
1250,341.715,0.0,0.0,0.6833930611610413,0.5049347281455994,0.019732555374503136,0.5098662972450256,1.3074114672150543e-42,0.8226182460784912,0.0,0.693030834197998,0.0,0.6843081712722778,0.504571259021759,0.0182681605219841,0.50913405418396,1.5764607723654192e-42,0.62890625,0.0,0.6928408741950989,0.0,0.05859375,0.0,0.6835329532623291,0.5048474073410034,0.019386043772101402,0.5096930265426636,1.0621842359582113e-42,0.9054904580116272,0.05859375,0.6930659413337708,0.05859375,0.6779020428657532,0.5085647106170654,0.0341099314391613,0.5170549750328064,8.847097854514733e-41,0.62890625,0.0,0.6912405490875244,0.0,0.0,0.0,0.686998724937439,0.503119707107544,0.012470116838812828,0.5062350630760193,2.6764800668604006e-43,0.5696885585784912,0.0,0.6930548548698425,0.0,0.670555830001831,0.5147140026092529,0.05809891223907471,0.5290494561195374,2.771343488740105e-38,0.62890625,0.0,0.686214029788971,0.0,0.0,0.0,2.350722353908606e-05,2.350722353908606e-05,19.054316713845612,1.0014315843582153,True,0.6851506233215332,0.6321207682291666,0.0,0.6851506233215332,0.5040479749441147,0.016187077620998025,0.508093535900116,7.115092952609259e-43,0.6321207582950592,0.0,0.6930468827486038,0.0
1500,410.084,0.1640625,0.0,0.6830839514732361,0.505075991153717,0.020299678668379784,0.5101498365402222,1.14906474074635e-42,0.9232856035232544,0.1640625,0.6930577158927917,0.1640625,0.6883404850959778,0.5024158954620361,0.009662769734859467,0.5048314332962036,2.059908742557481e-43,0.8471950888633728,0.0,0.6931220293045044,0.0,0.16796875,0.0,0.6849387884140015,0.5041281580924988,0.01651030406355858,0.5082551836967468,5.338947149077553e-43,0.92333984375,0.16796875,0.6930989623069763,0.16796875,0.6919735670089722,0.500601053237915,0.002403208753094077,0.5012016296386719,7.006492321624085e-44,0.369140625,0.0,0.6931186318397522,0.0,0.00390625,0.0,0.6917531490325928,0.5007252097129822,0.0028983489610254765,0.5014491677284241,1.0930128021733573e-43,0.37255859375,0.00390625,0.6930903792381287,0.00390625,0.696617841720581,0.4983731508255005,-0.006509521976113319,0.496745228767395,5.675258780515509e-43,0.3547092080116272,0.0,0.6929298639297485,0.0,0.1640625,0.0,9.368748353737464e-05,5e-05,19.055103833122555,1.0016860961914062,True,0.6853071749210358,0.6276719835069444,0.0,0.6853071749210358,0.5039647370576859,0.015854606870561838,0.5079273134469986,6.624638490095573e-43,0.6276719868183136,0.0,0.6930570751428604,0.0
1750,478.418,0.0,0.0,0.6809451580047607,0.5062230825424194,0.024872930720448494,0.5124364495277405,3.3448994343433383e-42,0.6407877802848816,0.0,0.6928998827934265,0.0,0.6890833377838135,0.5020413994789124,0.008164874278008938,0.504082441329956,1.4573504028978098e-43,0.8764106035232544,0.0,0.6931280493736267,0.0,0.0,0.0,0.6792520880699158,0.5071427226066589,0.02853434532880783,0.5142672061920166,7.412868876278282e-42,0.6407877802848816,0.0,0.6927509903907776,0.0,0.6932401657104492,0.5000529289245605,0.00020090567704755813,0.5001004338264465,5.310921179791057e-43,0.3592122495174408,0.0,0.6929465532302856,0.0,0.0,0.0,0.6798219680786133,0.5068345069885254,0.02730698324739933,0.5136535167694092,5.97793924880967e-42,0.6407877802848816,0.0,0.692798376083374,0.0,0.7001488208770752,0.49699538946151733,-0.012051067315042019,0.4939744770526886,3.875823396506725e-40,0.3592122495174408,0.0,0.6921501159667969,0.0,0.0,0.0,0.0,0.0,19.055536580143116,1.001849889755249,True,0.685291588306427,0.6804334852430556,0.0,0.685291588306427,0.503969207406044,0.01587297674268484,0.507936492562294,6.806807290457799e-43,0.6804334819316864,0.0,0.69306381046772,0.0
2000,546.756,0.0,0.0,0.683620035648346,0.5048609972000122,0.01943129673600197,0.5097156167030334,1.4531465075048353e-42,0.6344672441482544,0.0,0.6929503083229065,0.0,0.6853200197219849,0.5039638876914978,0.01585056632757187,0.507925271987915,6.572089797683392e-43,0.6539713740348816,0.0,0.6930457353591919,0.0,0.0,0.0,0.6825172305107117,0.5057059526443481,0.02278248406946659,0.5113912224769592,6.01016911348914e-42,0.6344672441482544,0.0,0.6923589110374451,0.0,0.6866469979286194,0.5033521056175232,0.013400275260210037,0.5067001581192017,5.394999087650546e-43,0.634521484375,0.0,0.6929418444633484,0.0,0.0,0.0,0.6833575367927551,0.5059786438941956,0.02391810528934002,0.5119590759277344,2.1277315882308022e-41,0.6344672441482544,0.0,0.6909835338592529,0.0,0.6905357837677002,0.5014965534210205,0.005994690582156181,0.5029972791671753,2.045895757914233e-43,0.6344130039215088,0.0,0.6927671432495117,0.0,0.0,0.0,0.0,0.0,19.055707927674703,1.002089023590088,True,0.6847075372934341,0.8458794487847222,0.0,0.6847075372934341,0.5042600184679031,0.01703615766018629,0.5085180550813675,7.227196829755244e-43,0.8458794355392456,0.0,0.6930662095546722,0.0
2250,614.214,0.0,0.0,0.6787166595458984,0.5075085759162903,0.029979169368743896,0.5149896144866943,9.64934122534069e-42,0.6418999433517456,0.0,0.6925514936447144,0.0,0.6906682252883911,0.5012551546096802,0.00501886336132884,0.5025094151496887,9.668959403841238e-44,0.3611111044883728,0.0,0.6931156516075134,0.0,0.0,0.0,0.6739279627799988,0.5104331970214844,0.04153943061828613,0.5207697153091431,1.2089562371115927e-40,0.6418999433517456,0.0,0.6914694309234619,0.0,0.6949364542961121,0.49915212392807007,-0.0033924703020602465,0.49830377101898193,9.949219096706201e-44,0.3581000566482544,0.0,0.6930535435676575,0.0,0.0,0.0,0.6740162372589111,0.5104563236236572,0.04162052273750305,0.5208102464675903,1.7666730259128699e-40,0.6418999433517456,0.0,0.6913332939147949,0.0,0.6953648328781128,0.49892494082450867,-0.004299660213291645,0.4978502094745636,6.305843089461677e-44,0.3581000566482544,0.0,0.6930797100067139,0.0,0.0,0.0,0.0,0.0,19.05531563309805,1.0022324323654175,True,0.6847130358219147,0.9098036024305556,0.009765625,0.6847130358219147,0.5042542219161987,0.017013481352478266,0.5085067301988602,6.960950121533529e-43,0.9098035991191864,0.009765625,0.6930723041296005,0.009765625
