step,elapsed_sec,j_plus_1,j_minus_1,plus1_obj_ce,plus1_obj_prob_true,plus1_obj_margin,plus1_obj_soft_cell_acc,plus1_obj_soft_board_acc,plus1_obj_hard_cell_acc,plus1_obj_hard_board_acc,plus1_obj_entropy,plus1_objective,minus1_obj_ce,minus1_obj_prob_true,minus1_obj_margin,minus1_obj_soft_cell_acc,minus1_obj_soft_board_acc,minus1_obj_hard_cell_acc,minus1_obj_hard_board_acc,minus1_obj_entropy,minus1_objective,j_plus_2,j_minus_2,plus2_obj_ce,plus2_obj_prob_true,plus2_obj_margin,plus2_obj_soft_cell_acc,plus2_obj_soft_board_acc,plus2_obj_hard_cell_acc,plus2_obj_hard_board_acc,plus2_obj_entropy,plus2_objective,minus2_obj_ce,minus2_obj_prob_true,minus2_obj_margin,minus2_obj_soft_cell_acc,minus2_obj_soft_board_acc,minus2_obj_hard_cell_acc,minus2_obj_hard_board_acc,minus2_obj_entropy,minus2_objective,j_plus_3,j_minus_3,plus3_obj_ce,plus3_obj_prob_true,plus3_obj_margin,plus3_obj_soft_cell_acc,plus3_obj_soft_board_acc,plus3_obj_hard_cell_acc,plus3_obj_hard_board_acc,plus3_obj_entropy,plus3_objective,minus3_obj_ce,minus3_obj_prob_true,minus3_obj_margin,minus3_obj_soft_cell_acc,minus3_obj_soft_board_acc,minus3_obj_hard_cell_acc,minus3_obj_hard_board_acc,minus3_obj_entropy,minus3_objective,j_plus,j_minus,raw_scalar,scalar,lr_scale,eps_scale,scalar_scale,best_step,bad_evals,param_l2,param_max_abs,params_finite,loss,cell_acc,board_acc,obj_ce,obj_prob_true,obj_margin,obj_soft_cell_acc,obj_soft_board_acc,obj_hard_cell_acc,obj_hard_board_acc,obj_entropy,objective,scheduler_event
1,1.319,0.0,0.0,0.718456506729126,0.4886728823184967,-0.045018941164016724,0.47749054431915283,1.6842486502412841e-37,0.3615993857383728,0.0,0.690545380115509,0.0,0.7230240702629089,0.4878323972225189,-0.04834701493382454,0.4758264720439911,2.7427816575398646e-34,0.3615993857383728,0.0,0.6876800656318665,0.0,0.0,0.0,0.7024603486061096,0.4955575168132782,-0.01775151677429676,0.4911242723464966,5.5799704849414216e-42,0.3615993857383728,0.0,0.6927223205566406,0.0,0.7546794414520264,0.47650495171546936,-0.09134817123413086,0.4543258845806122,1.1502257888400624e-28,0.3615993857383728,0.0,0.6791965365409851,0.0,0.0,0.0,0.6803564429283142,0.506586492061615,0.026313474401831627,0.5131567120552063,4.527595338233484e-42,0.6420356035232544,0.0,0.69275963306427,0.0,0.7760676145553589,0.47066593170166016,-0.11224334686994553,0.44387832283973694,6.9950776447417905e-25,0.3615993857383728,0.0,0.6701724529266357,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,19.126453060435654,0.9999999403953552,True,0.7180718928575516,0.3733384874131944,0.0,0.7180718928575516,0.4899859093129635,-0.03986792033538222,0.48006603866815567,1.197120225460404e-34,0.3733384907245636,0.0,0.6882980316877365,0.0,best
250,100.843,0.0,0.0,0.7127198576927185,0.49198055267333984,-0.031954336911439896,0.4840228259563446,3.772464787658449e-36,0.3834635317325592,0.0,0.6896422505378723,0.0,0.7232123017311096,0.48844417929649353,-0.04582885280251503,0.47708553075790405,6.452545631052779e-33,0.3834635317325592,0.0,0.6862919330596924,0.0,0.0,0.0,0.7228874564170837,0.48819276690483093,-0.04675973206758499,0.4766201376914978,1.2761382485942724e-33,0.3834635317325592,0.0,0.6871252655982971,0.0,0.7239879965782166,0.487907737493515,-0.047872960567474365,0.4760635197162628,3.225859923135663e-33,0.3834635317325592,0.0,0.6866036653518677,0.0,0.0,0.0,0.7428544163703918,0.4821251630783081,-0.0698803961277008,0.4650598168373108,1.0594380531147557e-28,0.3834635317325592,0.0,0.6795939207077026,0.0,0.7308335900306702,0.4857625365257263,-0.056139785796403885,0.4719300866127014,2.6185204013437e-31,0.3834635317325592,0.0,0.6841287016868591,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0,19.12647255560871,1.0000733137130737,True,0.7182782143354416,0.3721245659722222,0.0,0.7182782143354416,0.48987267166376114,-0.040315661346539855,0.4798421636223793,1.1196408701914219e-34,0.3721245713531971,0.0,0.6883188784122467,0.0,
500,201.392,0.0,0.0,0.72816002368927,0.4868004024028778,-0.052409861236810684,0.4737950563430786,5.447092709422277e-32,0.3713921308517456,0.0,0.6846471428871155,0.0,0.7112328410148621,0.49213817715644836,-0.03133595362305641,0.48433202505111694,6.466578749552362e-38,0.3713921308517456,0.0,0.6908075213432312,0.0,0.0,0.0,0.7397117614746094,0.48315632343292236,-0.06643059104681015,0.46678468585014343,1.725679873786804e-29,0.3713921308517456,0.0,0.6805371642112732,0.0,0.7124536037445068,0.49134519696235657,-0.03446393087506294,0.48276805877685547,1.6960793927860393e-38,0.3713921308517456,0.0,0.6911790370941162,0.0,0.0,0.0,0.7600337266921997,0.4764084219932556,-0.09132683277130127,0.45433658361434937,1.368524218394771e-26,0.3713921308517456,0.0,0.6742209792137146,0.0,0.7122237086296082,0.49158647656440735,-0.03350598365068436,0.4832470118999481,4.5872113393206404e-38,0.3713921308517456,0.0,0.6909260749816895,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,19.126395451626966,1.000179648399353,True,0.7179700806736946,0.3728908962673611,0.0,0.7179700806736946,0.49000725895166397,-0.03978488268330693,0.48010755702853203,8.806826850474062e-35,0.3728908933699131,0.0,0.6883563697338104,0.0,restore_best_decay_to_0.5
750,293.653,0.0,0.0,0.7161146998405457,0.49059629440307617,-0.03748006373643875,0.4812599718570709,1.7315742077777892e-35,0.3685438334941864,0.0,0.6890209317207336,0.0,0.7218005657196045,0.4884248375892639,-0.04599132761359215,0.47700437903404236,3.3512099570970476e-34,0.3685438334941864,0.0,0.6877158284187317,0.0,0.0,0.0,0.715936005115509,0.49054664373397827,-0.03765542805194855,0.4811722934246063,7.994442087601039e-36,0.3685438334941864,0.0,0.689301609992981,0.0,0.7220141291618347,0.48825666308403015,-0.04663526266813278,0.4766823351383209,2.4799431869946647e-34,0.3685438334941864,0.0,0.6878427863121033,0.0,0.0,0.0,0.7229979634284973,0.48750388622283936,-0.049536194652318954,0.47523191571235657,7.299055962072741e-35,0.3685438334941864,0.0,0.68837970495224,0.0,0.7195169925689697,0.48899057507514954,-0.04374392330646515,0.47812801599502563,2.3551320609438906e-35,0.3685438334941864,0.0,0.6888580322265625,0.0,0.0,0.0,0.0,0.0,0.5,0.8,0.5,1,0,19.126376636216094,1.0000314712524414,True,0.7176302075386047,0.3753594292534722,0.0,0.7176302075386047,0.49019718170166016,-0.03903082152828574,0.48048460856080055,9.148738007797288e-35,0.3753594271838665,0.0,0.6883157044649124,0.0,best
1000,361.059,0.0,0.0,0.7236006855964661,0.48777520656585693,-0.04853228107094765,0.4757338762283325,1.5108628891118861e-33,0.3679741621017456,0.0,0.6872285604476929,0.0,0.7160742878913879,0.4904076159000397,-0.03819449990987778,0.4809027910232544,8.927509382651387e-36,0.3679741621017456,0.0,0.6894433498382568,0.0,0.0,0.0,0.7269771695137024,0.48635944724082947,-0.05400530621409416,0.4729973375797272,3.9364514009955206e-33,0.3679741621017456,0.0,0.6867203116416931,0.0,0.7166187167167664,0.4897565245628357,-0.04072856530547142,0.47963565587997437,9.167030885293906e-37,0.3679741621017456,0.0,0.690209686756134,0.0,0.0,0.0,0.7274356484413147,0.48596298694610596,-0.05552259460091591,0.472238689661026,1.8400953468901924e-33,0.3679741621017456,0.0,0.6870636343955994,0.0,0.7193583846092224,0.48821523785591125,-0.046809885650873184,0.47659504413604736,2.4217988914360824e-37,0.3679741621017456,0.0,0.6905655264854431,0.0,0.0,0.0,0.0,0.0,0.5,0.8,0.5,750,0,19.126367976787723,1.0000672340393066,True,0.7204603850841522,0.3602837456597222,0.0,0.7204603850841522,0.48878147080540657,-0.04464372294023633,0.4776781387627125,8.588414534803062e-35,0.3602837473154068,0.0,0.6883253008127213,0.0,
1250,428.142,0.0,0.0,0.7220787405967712,0.48790767788887024,-0.04811261221766472,0.4759437143802643,6.630750115459957e-35,0.3494737446308136,0.0,0.6884582042694092,0.0,0.7256503701210022,0.4864976704120636,-0.053619835525751114,0.473190039396286,4.396849375529416e-34,0.3494737446308136,0.0,0.6877340078353882,0.0,0.0,0.0,0.7200524806976318,0.48863929510116577,-0.04523060843348503,0.4773847162723541,1.3694314036650314e-35,0.3494737446308136,0.0,0.6890103816986084,0.0,0.7329561114311218,0.4838363826274872,-0.06396054476499557,0.4680196940898895,1.7975054233183747e-32,0.3494737446308136,0.0,0.6858193874359131,0.0,0.0,0.0,0.715026319026947,0.49071741104125977,-0.0370519682765007,0.48147404193878174,1.0816973058635467e-36,0.3494737446308136,0.0,0.6898537278175354,0.0,0.7432267069816589,0.480537086725235,-0.07666215300559998,0.4616689085960388,3.8039640423117994e-30,0.3494737446308136,0.0,0.6822761297225952,0.0,0.0,0.0,0.0,0.0,0.5,0.8,0.5,750,1,19.12637149738486,1.0000698566436768,True,0.7196614965796471,0.3645494249131944,0.0,0.7196614965796471,0.4891796186566353,-0.043064895551651716,0.47846756130456924,9.614533025296723e-35,0.3645494282245636,0.0,0.6883255839347839,0.0,restore_best_decay_to_0.25
1500,495.191,0.0,0.0,0.7185173034667969,0.4898470342159271,-0.040463242679834366,0.47976839542388916,1.2718048759136874e-34,0.3681911826133728,0.0,0.6881247758865356,0.0,0.7181938886642456,0.48962128162384033,-0.04128705710172653,0.47935643792152405,1.9336454461997644e-35,0.3681911826133728,0.0,0.6889082789421082,0.0,0.0,0.0,0.716086208820343,0.49085792899131775,-0.03650867938995361,0.4817456007003784,5.288763749821741e-35,0.3681911826133728,0.0,0.6885164976119995,0.0,0.7175617218017578,0.4897114336490631,-0.04091706499457359,0.47954145073890686,6.259414147702896e-36,0.3681911826133728,0.0,0.6893594264984131,0.0,0.0,0.0,0.7116026282310486,0.49266088008880615,-0.029403507709503174,0.4852982759475708,6.089644753617829e-36,0.3681911826133728,0.0,0.6893715262413025,0.0,0.7182614803314209,0.48929235339164734,-0.042552195489406586,0.4787238836288452,4.4655472771628085e-36,0.3681911826133728,0.0,0.6895039677619934,0.0,0.0,0.0,0.0,0.0,0.25,0.6400000000000001,0.25,750,0,19.126367650681036,1.0000298023223877,True,0.7195660546422005,0.3651394314236111,0.0,0.7195660546422005,0.48923224583268166,-0.04285643948242068,0.4785717912018299,8.586277036725054e-35,0.3651394359767437,0.0,0.6883154660463333,0.0,
1750,562.188,0.0,0.0,0.7131885886192322,0.4920802116394043,-0.03159017860889435,0.4842049181461334,2.472503708245276e-35,0.3859320878982544,0.0,0.6889718770980835,0.0,0.7188562750816345,0.49003082513809204,-0.03963327780365944,0.4801833927631378,7.584083380816524e-34,0.3859320878982544,0.0,0.6874392032623291,0.0,0.0,0.0,0.7110003232955933,0.492794394493103,-0.028753072023391724,0.48562347888946533,3.548202864773041e-36,0.3859320878982544,0.0,0.6897246837615967,0.0,0.7223420739173889,0.48889434337615967,-0.04407324269413948,0.477963387966156,7.524199749659302e-33,0.3859320878982544,0.0,0.6862542033195496,0.0,0.0,0.0,0.7093784809112549,0.49322161078453064,-0.027037139981985092,0.4864814579486847,3.6320846805306264e-37,0.3859320878982544,0.0,0.6904903054237366,0.0,0.7250988483428955,0.4880755841732025,-0.04726644977927208,0.47636672854423523,5.006778386479966e-32,0.3859320878982544,0.0,0.6851601004600525,0.0,0.0,0.0,0.0,0.0,0.25,0.6400000000000001,0.25,750,1,19.126340650456815,1.0000298023223877,True,0.7184179648756981,0.3712158203125,0.0,0.7184179648756981,0.48980432748794556,-0.040588208474218845,0.47970588877797127,7.77437173765043e-35,0.3712158203125,0.0,0.6883159950375557,0.0,restore_best_decay_to_0.125
2000,632.98,0.0,0.0,0.7222818732261658,0.48857370018959045,-0.04542074725031853,0.477289617061615,1.6698944178086795e-33,0.3730197548866272,0.0,0.6869387030601501,0.0,0.7133522033691406,0.4916653037071228,-0.033241335302591324,0.4833793044090271,3.257869607190841e-36,0.3730197548866272,0.0,0.6896361112594604,0.0,0.0,0.0,0.7255867719650269,0.4875887334346771,-0.049296312034130096,0.47535187005996704,1.9535102744669915e-32,0.3730197548866272,0.0,0.6856266856193542,0.0,0.7088351845741272,0.49337121844291687,-0.026477830484509468,0.48676109313964844,1.1386890785009805e-37,0.3730197548866272,0.0,0.6907269358634949,0.0,0.0,0.0,0.7276351451873779,0.4871334433555603,-0.051130447536706924,0.4744347333908081,1.375663641450931e-31,0.3730197548866272,0.0,0.6844983696937561,0.0,0.7051787972450256,0.49481454491615295,-0.020733531564474106,0.4896332323551178,6.000777611181235e-39,0.3730197548866272,0.0,0.6914896368980408,0.0,0.0,0.0,0.0,0.0,0.125,0.5120000000000001,0.125,750,0,19.126377940729352,1.0000317096710205,True,0.7189750820398331,0.3682590060763889,0.0,0.7189750820398331,0.48952608555555344,-0.04169141687452793,0.4791542999446392,9.99435703227915e-35,0.3682590089738369,0.0,0.6883170455694199,0.0,
2250,703.859,0.0,0.0,0.7231631875038147,0.4881683886051178,-0.04701812565326691,0.47649097442626953,1.842070177399574e-33,0.3701985776424408,0.0,0.6868727207183838,0.0,0.7140528559684753,0.491292804479599,-0.034708697348833084,0.4826456606388092,2.906768514814973e-36,0.3701985776424408,0.0,0.6896840929985046,0.0,0.0,0.0,0.726868212223053,0.48697513341903687,-0.05168438330292702,0.4741578698158264,1.999398047440041e-32,0.3701985776424408,0.0,0.6855840682983398,0.0,0.7104894518852234,0.4925478398799896,-0.029726862907409668,0.48513656854629517,1.2034514883282162e-37,0.3701985776424408,0.0,0.6907269954681396,0.0,0.0,0.0,0.7297161817550659,0.4860953688621521,-0.05511283129453659,0.4724435806274414,1.2330489052272483e-31,0.3701985776424408,0.0,0.6845227479934692,0.0,0.708968997001648,0.49300405383110046,-0.02790483459830284,0.48604753613471985,1.2847121136511495e-38,0.3701985776424408,0.0,0.6913325786590576,0.0,0.0,0.0,0.0,0.0,0.125,0.5120000000000001,0.125,750,1,19.12635625446684,1.0000311136245728,True,0.7175202444195747,0.3759833441840278,0.0,0.7175202444195747,0.4902513064444065,-0.038815805688500404,0.4805920980870724,1.0465292756915471e-34,0.3759833462536335,0.0,0.6883171424269676,0.0,best
