step,elapsed_sec,j_plus_1,j_minus_1,plus1_obj_ce,plus1_obj_prob_true,plus1_obj_margin,plus1_obj_soft_cell_acc,plus1_obj_soft_board_acc,plus1_obj_entropy,plus1_objective,minus1_obj_ce,minus1_obj_prob_true,minus1_obj_margin,minus1_obj_soft_cell_acc,minus1_obj_soft_board_acc,minus1_obj_entropy,minus1_objective,j_plus_2,j_minus_2,plus2_obj_ce,plus2_obj_prob_true,plus2_obj_margin,plus2_obj_soft_cell_acc,plus2_obj_soft_board_acc,plus2_obj_entropy,plus2_objective,minus2_obj_ce,minus2_obj_prob_true,minus2_obj_margin,minus2_obj_soft_cell_acc,minus2_obj_soft_board_acc,minus2_obj_entropy,minus2_objective,j_plus_3,j_minus_3,plus3_obj_ce,plus3_obj_prob_true,plus3_obj_margin,plus3_obj_soft_cell_acc,plus3_obj_soft_board_acc,plus3_obj_entropy,plus3_objective,minus3_obj_ce,minus3_obj_prob_true,minus3_obj_margin,minus3_obj_soft_cell_acc,minus3_obj_soft_board_acc,minus3_obj_entropy,minus3_objective,j_plus,j_minus,raw_scalar,scalar,param_l2,param_max_abs,params_finite,loss,cell_acc,board_acc,obj_ce,obj_prob_true,obj_margin,obj_soft_cell_acc,obj_soft_board_acc,obj_entropy,objective
1,0.745,0.4730340540409088,0.4725395441055298,0.7061493992805481,0.4946611225605011,-0.02140490896999836,0.4892975389957428,5.809348470047365e-38,0.6908180713653564,0.4730340540409088,0.7066261768341064,0.4944576621055603,-0.022213174030184746,0.48889338970184326,7.58863430317793e-38,0.6907494068145752,0.4725395441055298,0.473580539226532,0.47272005677223206,0.7056441903114319,0.49488672614097595,-0.020510949194431305,0.48974451422691345,4.728989953526247e-38,0.6908705830574036,0.473580539226532,0.706475555896759,0.49453285336494446,-0.021917404606938362,0.4890413284301758,7.638500349810007e-38,0.6907487511634827,0.47272005677223206,0.4742048382759094,0.47323372960090637,0.7050774097442627,0.49514469504356384,-0.019489364698529243,0.49025529623031616,3.8828080285723057e-38,0.6909195780754089,0.4742048382759094,0.7060210704803467,0.4947458803653717,-0.021076317876577377,0.4894617795944214,6.933403396321832e-38,0.6907753944396973,0.47323372960090637,0.4730340540409088,0.4725395441055298,0.0003663429192134312,5e-05,19.15994796056544,1.0000498294830322,True,0.7030971795320511,0.3946668836805556,0.0,0.7030971795320511,0.4962105080485344,-0.015230415388941765,0.49238478392362595,1.608632819470252e-37,0.6907678693532944,0.4767997935414314
250,35.966,0.48026713728904724,0.48096412420272827,0.699217677116394,0.49762365221977234,-0.009580795653164387,0.49520957469940186,1.318488731575542e-39,0.6918180584907532,0.48026713728904724,0.6986157894134521,0.49791082739830017,-0.008439257740974426,0.495780348777771,1.1507196742327176e-39,0.6918442845344543,0.48096412420272827,0.47989949584007263,0.4812927842140198,0.6995344161987305,0.4974721372127533,-0.010182937607169151,0.49490848183631897,1.4059241505555533e-39,0.6918051242828369,0.47989949584007263,0.6983293890953064,0.4980461299419403,-0.007901040837168694,0.4960494637489319,1.0600850908586528e-39,0.6918596625328064,0.4812927842140198,0.4795226454734802,0.48161032795906067,0.6998598575592041,0.49731671810150146,-0.010800274088978767,0.4945998787879944,1.5035652262512422e-39,0.6917911171913147,0.4795226454734802,0.6980495452880859,0.4981766939163208,-0.007381089963018894,0.49630942940711975,9.603462713618696e-40,0.6918780207633972,0.48161032795906067,0.48026713728904724,0.48096412420272827,-4.378825700381002e-05,-4.378825700381002e-05,19.159854995838668,1.0018726587295532,True,0.6990586370229721,0.3709445529513889,0.0,0.6990586370229721,0.4976922944188118,-0.009308441774919629,0.4953457787632942,1.1897041478348501e-39,0.6918394416570663,0.48043376952409744
500,71.662,0.48794376850128174,0.48799681663513184,0.6921766400337219,0.5007594227790833,0.002978753065690398,0.5014894008636475,1.6944501030615688e-41,0.6925893425941467,0.48794376850128174,0.6920996904373169,0.5007796883583069,0.0030647297389805317,0.5015323162078857,1.236926154459516e-41,0.6926266551017761,0.48799681663513184,0.4881129562854767,0.4882294833660126,0.692044734954834,0.5008294582366943,0.0032564369030296803,0.5016282200813293,1.8048724220503644e-41,0.6925808787345886,0.4881129562854767,0.6918826699256897,0.5008741617202759,0.0034453687258064747,0.5017226338386536,9.589085391374723e-42,0.6926550269126892,0.4882294833660126,0.4883991479873657,0.488601416349411,0.6918107271194458,0.5009472370147705,0.003725645365193486,0.5018627643585205,1.8129999531434483e-41,0.6925788521766663,0.4883991479873657,0.6915460824966431,0.5010255575180054,0.0040539102628827095,0.5020269751548767,6.965854666158666e-42,0.6926892399787903,0.488601416349411,0.48794376850128174,0.48799681663513184,-2.8346171159374794e-06,-2.8346171159374794e-06,19.159880332381643,1.002397894859314,True,0.692059263586998,0.3682861328125,0.001953125,0.692059263586998,0.5008131712675095,0.0031952439167071134,0.5015976130962372,1.209565801943574e-41,0.6925994902849197,0.48807595670223236
750,107.499,0.49518048763275146,0.49707379937171936,0.685929536819458,0.5037152767181396,0.014831745065748692,0.5074158906936646,6.221765181602188e-43,0.6929293870925903,0.49518048763275146,0.6843225955963135,0.5044884085655212,0.017933789640665054,0.508966863155365,5.857427580877735e-43,0.6929917931556702,0.49707379937171936,0.4941522181034088,0.49793440103530884,0.6868115067481995,0.5032956600189209,0.013147351332008839,0.5065736770629883,8.57594660166788e-43,0.6928857564926147,0.4941522181034088,0.6836000084877014,0.5048399567604065,0.019343966618180275,0.5096719861030579,6.8943884444781e-43,0.6930118203163147,0.49793440103530884,0.49307259917259216,0.4987349510192871,0.6877440810203552,0.502855122089386,0.011379165574908257,0.5056895613670349,1.4055023597177915e-42,0.6928332448005676,0.49307259917259216,0.6829326152801514,0.5051672458648682,0.020655887201428413,0.5103279948234558,8.547920632381384e-43,0.6930252909660339,0.4987349510192871,0.49518048763275146,0.49707379937171936,-6.851812346034499e-05,-5e-05,19.15997204393027,1.0031774044036865,True,0.6852616965770721,0.4370659722222222,0.0,0.6852616965770721,0.5040303617715836,0.016097561456263065,0.5080487877130508,5.097223163981522e-43,0.6929680556058884,0.4959532916545868
1000,143.454,0.5021890997886658,0.5028334259986877,0.6801232099533081,0.5065820217132568,0.026319244876503944,0.5131596326828003,2.94693067047509e-42,0.6930055618286133,0.5021890997886658,0.67960524559021,0.5068464875221252,0.027375902980566025,0.5136879682540894,3.469614997668247e-42,0.6929944157600403,0.5028334259986877,0.5019116401672363,0.5032002329826355,0.6803467273712158,0.5064681172370911,0.02586420066654682,0.5129321217536926,2.7703670639701633e-42,0.6930100917816162,0.5019116401672363,0.6793107986450195,0.5069970488548279,0.027977386489510536,0.513988733291626,3.839557792249999e-42,0.6929877400398254,0.5032002329826355,0.5016661286354065,0.5035992860794067,0.6805446743965149,0.5063673853874207,0.02546168491244316,0.5127308368682861,2.6414476052522802e-42,0.6930136680603027,0.5016661286354065,0.6789906620979309,0.5071608424186707,0.028631743043661118,0.5143159031867981,4.304788882405838e-42,0.692980170249939,0.5035992860794067,0.5021890997886658,0.5028334259986877,-2.023605658718876e-05,-2.023605658718876e-05,19.159264703229816,1.0034657716751099,True,0.6795528680086136,0.9035508897569444,0.107421875,0.6795528680086136,0.5068700164556503,0.02747035352513194,0.5137351602315903,3.193909524812339e-42,0.6929998993873596,0.5028911381959915
1250,179.42,0.5093699097633362,0.5109103918075562,0.6744430661201477,0.5095332264900208,0.038098059594631195,0.5190489888191223,2.9117580790205374e-41,0.6927791833877563,0.5093699097633362,0.6732690930366516,0.510169267654419,0.04062636196613312,0.5203131437301636,5.116140693249907e-41,0.6926786303520203,0.5109103918075562,0.5085444450378418,0.5116307735443115,0.6750802397727966,0.509192943572998,0.03674328327178955,0.5183717012405396,2.1664074258461672e-41,0.692823588848114,0.5085444450378418,0.6727283000946045,0.5104672312736511,0.041808851063251495,0.5209044218063354,6.705633541333547e-41,0.6926218271255493,0.5116307735443115,0.5076804161071777,0.5123229026794434,0.6757519245147705,0.5088372230529785,0.03532586991786957,0.5176628828048706,1.5957986911731017e-41,0.692864179611206,0.5076804161071777,0.6722147464752197,0.5107540488243103,0.04294537380337715,0.521472692489624,8.743682027847561e-41,0.6925599575042725,0.5123229026794434,0.5093699097633362,0.5109103918075562,-4.3409953527386665e-05,-4.3409953527386665e-05,19.158977617341247,1.003454566001892,True,0.6733357459306717,0.9100341796875,0.15625,0.6733357459306717,0.510111078619957,0.04040089622139931,0.5202004462480545,4.0311853572464175e-41,0.6927293092012405,0.5107738375663757
1500,215.374,0.5202605724334717,0.5172930359840393,0.6662858724594116,0.5140494108200073,0.05597705394029617,0.5279885530471802,1.0870825070723347e-39,0.6918740272521973,0.5202605724334717,0.6684435606002808,0.5128118991851807,0.05110315605998039,0.5255515575408936,3.862146723494915e-40,0.6922035217285156,0.5172930359840393,0.5217511057853699,0.5158195495605469,0.6652207374572754,0.5146734714508057,0.05842592939734459,0.5292129516601562,1.8364184530792447e-39,0.6916837692260742,0.5217511057853699,0.6695325374603271,0.5121995806694031,0.048683587461709976,0.5243418216705322,2.3208024906454755e-40,0.6923441290855408,0.5158195495605469,0.5232436060905457,0.5143545866012573,0.6641672849655151,0.515299916267395,0.06087825074791908,0.5304391384124756,3.113147089119443e-39,0.6914757490158081,0.5232436060905457,0.6706262826919556,0.5115920305252075,0.04627860337495804,0.523139238357544,1.4030360744205798e-40,0.692469596862793,0.5143545866012573,0.5202605724334717,0.5172930359840393,7.597563653431296e-05,5e-05,19.160524212780466,1.0042002201080322,True,0.666845828294754,0.6362847222222222,0.0,0.666845828294754,0.513691708445549,0.054581896401941776,0.5272909551858902,6.61323892708829e-40,0.692035362124443,0.5194122344255447
1750,251.322,0.5276086926460266,0.5253809094429016,0.6610333919525146,0.5171322226524353,0.0680488646030426,0.5340244770050049,1.2380008102518067e-38,0.6909201145172119,0.5276086926460266,0.6625889539718628,0.5161928534507751,0.06438790261745453,0.5321938991546631,6.002824908237614e-39,0.6912583112716675,0.5253809094429016,0.5286537408828735,0.5242027640342712,0.6603094339370728,0.5175740718841553,0.0697665736079216,0.5348832607269287,1.7345219142070941e-38,0.6907525062561035,0.5286537408828735,0.6634199023246765,0.5156974792480469,0.062452033162117004,0.5312259793281555,4.084454317069261e-39,0.6914253234863281,0.5242027640342712,0.5296516418457031,0.5229870080947876,0.6596208214759827,0.5179965496063232,0.07140667736530304,0.5357033610343933,2.3893206606167947e-38,0.6905882358551025,0.5296516418457031,0.6642838716506958,0.5151873826980591,0.060454435646533966,0.5302272439002991,2.741633438959183e-39,0.6915884613990784,0.5229870080947876,0.5276086926460266,0.5253809094429016,5.2747303077209774e-05,5e-05,19.161106682302194,1.003492832183838,True,0.6598994582891464,0.6472032335069444,0.0,0.6598994582891464,0.5176208317279816,0.07003096491098404,0.5350154638290405,7.772013264893947e-39,0.6910808384418488,0.5288205742835999
2000,287.281,0.5313496589660645,0.5312634706497192,0.6587200164794922,0.5187404155731201,0.07420679926872253,0.5371034145355225,5.250012340740714e-38,0.6899742484092712,0.5313496589660645,0.6587114334106445,0.5186982750892639,0.07406288385391235,0.5370314121246338,4.977074712611541e-38,0.6900709867477417,0.5312634706497192,0.5311660170555115,0.5309690237045288,0.6588780283927917,0.5186648964881897,0.07390589267015457,0.5369529724121094,5.018504381968997e-38,0.6899675726890564,0.5311660170555115,0.6588790416717529,0.5185701847076416,0.07357772439718246,0.536788821220398,4.471492112136697e-38,0.6901636719703674,0.5309690237045288,0.5308471918106079,0.5304914712905884,0.6591272354125977,0.5185317397117615,0.07338285446166992,0.536691427230835,4.5978480354439443e-38,0.6899861097335815,0.5308471918106079,0.6591734290122986,0.5183645486831665,0.07279161363840103,0.536395788192749,3.785739243169447e-38,0.69028639793396,0.5304914712905884,0.5313496589660645,0.5312634706497192,2.45267909064017e-06,2.45267909064017e-06,19.161016799434687,1.004050612449646,True,0.6574317216873169,0.632568359375,0.0,0.6574317216873169,0.5193627625703812,0.07668326981365681,0.5383416414260864,5.862102382619646e-38,0.6900156587362289,0.5328613221645355
2250,323.235,0.5396798253059387,0.541795015335083,0.6528813242912292,0.5222893953323364,0.08789578825235367,0.5439478754997253,3.289450614629391e-37,0.6886363625526428,0.5396798253059387,0.6513106822967529,0.5231886506080627,0.09136881679296494,0.5456843972206116,5.932892323648344e-37,0.6883891224861145,0.541795015335083,0.5385782122612,0.5428104400634766,0.6536858081817627,0.5218204855918884,0.08608658611774445,0.543043315410614,2.4053664809162696e-37,0.6887799501419067,0.5385782122612,0.6505439281463623,0.5236195921897888,0.0930355116724968,0.5465177297592163,7.834305017372762e-37,0.6882849931716919,0.5428104400634766,0.5374460816383362,0.5437986850738525,0.6545039415359497,0.5213383436203003,0.08422696590423584,0.5421134829521179,1.736417422613817e-37,0.688936710357666,0.5374460816383362,0.649789571762085,0.524038553237915,0.09465743601322174,0.5473287105560303,1.0237712595139783e-36,0.6881930828094482,0.5437986850738525,0.5396798253059387,0.541795015335083,-4.4286304734126106e-05,-4.4286304734126106e-05,19.1612137088334,1.0038386583328247,True,0.6525701731443405,0.6342230902777778,0.0,0.6525701731443405,0.522506594657898,0.08871467597782612,0.5443573445081711,5.442748164666598e-37,0.6885054409503937,0.5401773899793625
