step,elapsed_sec,best_agent,best_loss,best_cell_acc,best_board_acc,avg_cell_acc,avg_board_acc,theta_spread,j_plus_1,j_minus_1,j_plus_2,j_minus_2,j_plus_3,j_minus_3,j_plus,j_minus,update_norm,theta_l2,theta_max_abs,theta_finite
1,1.453,3,0.696430504322052,0.452265625,0.0,0.4501953125,0.0,0.0007809220696799457,-0.6970762610435486,-0.6973321437835693,-0.696967601776123,-0.6974630951881409,-0.6968816518783569,-0.6975843906402588,-0.6970762610435486,-0.6973321437835693,0.0010368340881541371,26.250469207763672,1.0027880668640137,True
250,134.061,2,0.6964614987373352,0.45578125,0.0,0.45074218750000006,0.0,0.0006413656519725919,-0.6972007155418396,-0.6973679065704346,-0.697121262550354,-0.6974549889564514,-0.6970449686050415,-0.6975436210632324,-0.6972007155418396,-0.6973679065704346,3.0371336833923124e-05,26.249473571777344,1.0025277137756348,True
500,267.012,1,0.6963726431131363,0.45546875,0.0,0.45273437499999997,0.0,0.0005969267222099006,-0.6965606808662415,-0.6965293884277344,-0.696582019329071,-0.6965206861495972,-0.6966063976287842,-0.6965173482894897,-0.6965606808662415,-0.6965293884277344,1.8608179743750952e-05,26.250499725341797,1.0022343397140503,True
750,399.905,0,0.6963237971067429,0.460390625,0.0,0.45224609375,0.0,0.0005665835924446583,-0.6967784762382507,-0.6968813538551331,-0.696725606918335,-0.6969311237335205,-0.6966718435287476,-0.6969799995422363,-0.6967784762382507,-0.6968813538551331,1.3840544852428138e-05,26.249279022216797,1.0003471374511719,True
1000,538.078,0,0.6964105665683746,0.455546875,0.0,0.45015625000000004,0.0,0.0005430240998975933,-0.6962617635726929,-0.6963395476341248,-0.6962206959724426,-0.6963760256767273,-0.6961787343025208,-0.6964105367660522,-0.6962617635726929,-0.6963395476341248,1.1154131243529264e-05,26.249229431152344,1.000374436378479,True
1250,678.577,0,0.6965015232563019,0.45421875,0.0,0.4482421875,0.0,0.0005235837306827307,-0.6964907646179199,-0.6965878009796143,-0.6964397430419922,-0.696632444858551,-0.6963877081871033,-0.6966738700866699,-0.6964907646179199,-0.6965878009796143,9.405040145793464e-06,26.249204635620117,1.0004044771194458,True
1500,817.498,1,0.6964370012283325,0.45390625,0.0,0.45060546875,0.0,0.0005069523467682302,-0.6968770027160645,-0.6969053745269775,-0.6968618631362915,-0.6969179511070251,-0.6968464851379395,-0.6969291567802429,-0.6968770027160645,-0.6969053745269775,8.156249350577127e-06,26.250329971313477,1.0020674467086792,True
1750,955.114,0,0.6964544802904129,0.455546875,0.0,0.45041015625,0.0,0.000492377788759768,-0.6967933773994446,-0.6967710256576538,-0.6968123912811279,-0.6967666745185852,-0.696837306022644,-0.6967662572860718,-0.6967933773994446,-0.6967710256576538,7.219647613965208e-06,26.24917221069336,1.000464916229248,True
2000,1092.857,2,0.6965855062007904,0.4525,0.0,0.44947265625,0.0,0.0004793820553459227,-0.6963430643081665,-0.6962097883224487,-0.6964065432548523,-0.6961402893066406,-0.6964677572250366,-0.6960690021514893,-0.6963430643081665,-0.6962097883224487,6.493678938568337e-06,26.24945640563965,1.002039909362793,True
2250,1230.756,0,0.6964979618787766,0.45625,0.0,0.4492382812499999,0.0,0.0004676443350035697,-0.6963999271392822,-0.696347713470459,-0.6964288353919983,-0.6963245272636414,-0.6964596509933472,-0.696303129196167,-0.6963999271392822,-0.696347713470459,5.895371486985823e-06,26.249135971069336,1.0005264282226562,True
2500,1367.834,0,0.6965687870979309,0.454609375,0.0,0.44941406250000004,0.0,0.0004569315060507506,-0.6966776847839355,-0.6968298554420471,-0.6966038346290588,-0.6969085931777954,-0.6965312361717224,-0.6969892978668213,-0.6966776847839355,-0.6968298554420471,5.417228749138303e-06,26.249095916748047,1.000552773475647,True
2750,1501.429,1,0.696338415145874,0.456953125,0.0,0.44830078125,0.0,0.00044707543565891683,-0.69683438539505,-0.6970716714859009,-0.6967104077339172,-0.6971848011016846,-0.6965830326080322,-0.6972940564155579,-0.69683438539505,-0.6970716714859009,5.019566287955968e-06,26.250288009643555,1.0019207000732422,True
3000,1634.86,0,0.6965816169977188,0.451328125,0.0,0.44681640625,0.0,0.0004379453312139958,-0.6966292858123779,-0.6966595649719238,-0.696615993976593,-0.6966773271560669,-0.6966037154197693,-0.6966972351074219,-0.6966292858123779,-0.6966595649719238,4.643084594135871e-06,26.24912452697754,1.0005617141723633,True
3250,1768.337,3,0.6965307891368866,0.450234375,0.0,0.44837890625,0.0,0.00042944023152813315,-0.6960991024971008,-0.6962358355522156,-0.6960318684577942,-0.6963050365447998,-0.6959655284881592,-0.6963747143745422,-0.6960991024971008,-0.6962358355522156,4.346047717262991e-06,26.25008773803711,1.0019036531448364,True
3500,1901.725,2,0.6966061741113663,0.452734375,0.0,0.449140625,0.0,0.0004214787040837109,-0.6969549059867859,-0.6970558166503906,-0.696907103061676,-0.6971092224121094,-0.6968609690666199,-0.69716477394104,-0.6969549059867859,-0.6970558166503906,4.075884589838097e-06,26.24959945678711,1.0018632411956787,True
3750,2035.166,0,0.6965551376342773,0.45421875,0.0,0.44783203125,0.0,0.00041399564361199737,-0.6965131163597107,-0.6966703534126282,-0.6964331269264221,-0.6967474222183228,-0.6963523626327515,-0.6968232989311218,-0.6965131163597107,-0.6966703534126282,3.848073447443312e-06,26.249126434326172,1.0005614757537842,True
