step,elapsed_sec,j_plus_1,j_minus_1,plus1_obj_ce,plus1_obj_prob_true,plus1_obj_margin,plus1_obj_soft_cell_acc,plus1_obj_soft_board_acc,plus1_obj_hard_cell_acc,plus1_obj_hard_board_acc,plus1_obj_entropy,plus1_objective,minus1_obj_ce,minus1_obj_prob_true,minus1_obj_margin,minus1_obj_soft_cell_acc,minus1_obj_soft_board_acc,minus1_obj_hard_cell_acc,minus1_obj_hard_board_acc,minus1_obj_entropy,minus1_objective,j_plus_2,j_minus_2,plus2_obj_ce,plus2_obj_prob_true,plus2_obj_margin,plus2_obj_soft_cell_acc,plus2_obj_soft_board_acc,plus2_obj_hard_cell_acc,plus2_obj_hard_board_acc,plus2_obj_entropy,plus2_objective,minus2_obj_ce,minus2_obj_prob_true,minus2_obj_margin,minus2_obj_soft_cell_acc,minus2_obj_soft_board_acc,minus2_obj_hard_cell_acc,minus2_obj_hard_board_acc,minus2_obj_entropy,minus2_objective,j_plus_3,j_minus_3,plus3_obj_ce,plus3_obj_prob_true,plus3_obj_margin,plus3_obj_soft_cell_acc,plus3_obj_soft_board_acc,plus3_obj_hard_cell_acc,plus3_obj_hard_board_acc,plus3_obj_entropy,plus3_objective,minus3_obj_ce,minus3_obj_prob_true,minus3_obj_margin,minus3_obj_soft_cell_acc,minus3_obj_soft_board_acc,minus3_obj_hard_cell_acc,minus3_obj_hard_board_acc,minus3_obj_entropy,minus3_objective,j_plus,j_minus,raw_scalar,scalar,lr_scale,eps_scale,scalar_scale,best_step,bad_evals,param_l2,param_max_abs,params_finite,loss,cell_acc,board_acc,obj_ce,obj_prob_true,obj_margin,obj_soft_cell_acc,obj_soft_board_acc,obj_hard_cell_acc,obj_hard_board_acc,obj_entropy,objective,scheduler_event
1,0.984,0.500991702079773,0.4985061287879944,0.6925176978111267,0.5062866806983948,0.02473648637533188,0.5123682618141174,4.910669559876624e-08,0.546875,0.0,0.6812297105789185,0.500991702079773,0.6921294927597046,0.5051959156990051,0.020581061020493507,0.5102905035018921,4.650919649407115e-08,0.546875,0.0,0.6837985515594482,0.4985061287879944,0.5021954774856567,0.49728143215179443,0.6926953196525574,0.5068225860595703,0.026748858392238617,0.513374388217926,5.024118721053128e-08,0.546875,0.0,0.6799784302711487,0.5021954774856567,0.6919479370117188,0.504665732383728,0.018533768132328987,0.5092668533325195,4.510696172133066e-08,0.546875,0.0,0.6850384473800659,0.49728143215179443,0.5033220052719116,0.49609625339508057,0.6928324699401855,0.5073287487030029,0.028630802407860756,0.5143154263496399,5.124092083974574e-08,0.546875,0.0,0.6788255572319031,0.5033220052719116,0.6917858719825745,0.5041568875312805,0.016553137451410294,0.5082765817642212,4.368024875134324e-08,0.546875,0.0,0.6862156391143799,0.49609625339508057,0.500991702079773,0.4985061287879944,0.0024279228278568815,5e-05,1.0,1.0,1.0,0,0,18.97042380325255,1.0000498294830322,True,0.6930181905627251,0.544296875,0.0,0.6930181905627251,0.505448155105114,0.021507490542717278,0.510753758251667,5.234894739913898e-08,0.5442968755960464,0.0,0.6824100017547607,0.4990442618727684,best
250,31.862,0.5100895166397095,0.5097677111625671,0.6866055130958557,0.5101538300514221,0.03970242664217949,0.5198512077331543,7.499511411879212e-08,0.5662500262260437,0.0,0.6793525815010071,0.5100895166397095,0.686595618724823,0.5100099444389343,0.039165738970041275,0.5195829272270203,7.435704674207955e-08,0.5662500262260437,0.0,0.6796519756317139,0.5097677111625671,0.5101948380470276,0.5095458030700684,0.6866179704666138,0.5102010369300842,0.03987841680645943,0.5199391841888428,7.516416644648416e-08,0.5662500262260437,0.0,0.6792454719543457,0.5101948380470276,0.6866018772125244,0.5099108219146729,0.03879614546895027,0.5193980932235718,7.387470191133616e-08,0.5662500262260437,0.0,0.6798449754714966,0.5095458030700684,0.5102699995040894,0.5092830061912537,0.6866328716278076,0.5102347731590271,0.040004096925258636,0.5200020670890808,7.525024159349414e-08,0.5662500262260437,0.0,0.6791631579399109,0.5102699995040894,0.686617910861969,0.509793758392334,0.03835873305797577,0.5191794037818909,7.3282919288431e-08,0.5662500262260437,0.0,0.6800647974014282,0.5092830061912537,0.5100895166397095,0.5097677111625671,2.0580247819979174e-05,2.0580247819979174e-05,1.0,1.0,1.0,1,0,18.970253686456214,1.001288652420044,True,0.6923875510692596,0.5483984375,0.0,0.6923875510692596,0.507180705666542,0.02812677319161594,0.5140633806586266,7.277283664564038e-08,0.5483984425663948,0.0,0.6795681193470955,0.5030284523963928,best
500,62.726,0.5066578388214111,0.5075168013572693,0.6915779113769531,0.5087687373161316,0.034148797392845154,0.5170744061470032,6.367102400872682e-08,0.5528125166893005,0.0,0.6771910786628723,0.5066578388214111,0.6918690204620361,0.5091627240180969,0.03559010475873947,0.5177950859069824,6.537342756018916e-08,0.5528125166893005,0.0,0.6761115789413452,0.5075168013572693,0.5062037110328674,0.5079057812690735,0.6913959980010986,0.5085614323616028,0.033385828137397766,0.5166929364204407,6.274674291262272e-08,0.5528125166893005,0.0,0.6777867078781128,0.5062037110328674,0.6919746398925781,0.5093420147895813,0.036241888999938965,0.5181209444999695,6.610844138776883e-08,0.5528125166893005,0.0,0.6756468415260315,0.5079057812690735,0.5057429671287537,0.5082575082778931,0.6911950707435608,0.5083519220352173,0.03261125832796097,0.5163056254386902,6.179963918384601e-08,0.5528125166893005,0.0,0.6784054636955261,0.5057429671287537,0.6920536160469055,0.509504497051239,0.036830753087997437,0.5184153914451599,6.673685248870243e-08,0.5528125166893005,0.0,0.6752415299415588,0.5082575082778931,0.5066578388214111,0.5075168013572693,-3.7481545795758465e-05,-3.7481545795758465e-05,1.0,1.0,1.0,250,0,18.970168584899977,1.0019457340240479,True,0.6942460313439369,0.546015625,0.0,0.6942460313439369,0.5076801106333733,0.029904865194112062,0.5149524360895157,6.117568984720378e-08,0.546015627682209,0.0,0.6767297089099884,0.5040581151843071,
750,93.575,0.5083078145980835,0.5080479979515076,0.6926378607749939,0.5095400810241699,0.03693410009145737,0.5184670686721802,6.803972496527422e-08,0.5521875023841858,0.0,0.6745953559875488,0.5083078145980835,0.6929866671562195,0.5094220638275146,0.036512717604637146,0.5182563662528992,6.729351298417896e-08,0.5521875023841858,0.0,0.6744946241378784,0.5080479979515076,0.5084174275398254,0.507905125617981,0.6924645900726318,0.509589672088623,0.0371110662817955,0.5185555219650269,6.834095245267235e-08,0.5521875023841858,0.0,0.6746636033058167,0.5084174275398254,0.69315505027771,0.5093569755554199,0.036280225962400436,0.5181400775909424,6.687438514063615e-08,0.5521875023841858,0.0,0.6744625568389893,0.507905125617981,0.5085088610649109,0.5077582001686096,0.6922966241836548,0.5096307396888733,0.03725774958729744,0.5186288952827454,6.857823109385208e-08,0.5521875023841858,0.0,0.6747441291809082,0.5085088610649109,0.6933143734931946,0.5092898607254028,0.036040712147951126,0.5180203318595886,6.644160066571203e-08,0.5521875023841858,0.0,0.6744433641433716,0.5077582001686096,0.5083078145980835,0.5080479979515076,9.162796551090403e-06,9.162796551090403e-06,1.0,1.0,1.0,250,1,18.970301007092825,1.0023342370986938,True,0.6940180286765099,0.5487890625,0.0,0.6940180286765099,0.5088849365711212,0.0344091122969985,0.517204575240612,6.637194260861179e-08,0.5487890690565109,0.0,0.6745436564087868,0.5067652463912964,best
1000,124.5,0.5137468576431274,0.5145499110221863,0.6891224384307861,0.511888325214386,0.045881956815719604,0.522940993309021,7.14005068402912e-08,0.5621874928474426,0.0,0.6733666062355042,0.5137468576431274,0.6897473335266113,0.5122685432434082,0.047241199761629105,0.52362060546875,7.152294756451738e-08,0.5621874928474426,0.0,0.6719905734062195,0.5145499110221863,0.5133591890335083,0.5149455666542053,0.6888133883476257,0.511705756187439,0.045225515961647034,0.5226127505302429,7.135912483136053e-08,0.5621874928474426,0.0,0.6740365624427795,0.5133591890335083,0.6900560259819031,0.5124569535255432,0.047910917550325394,0.5239554643630981,7.15870953627018e-08,0.5621874928474426,0.0,0.6713098287582397,0.5149455666542053,0.5129954814910889,0.5153264999389648,0.6885095834732056,0.5115349292755127,0.04460928589105606,0.5223045945167542,7.134506319061984e-08,0.5621874928474426,0.0,0.6746776103973389,0.5129954814910889,0.6903560757637024,0.5126391053199768,0.04855594038963318,0.524277925491333,7.164720727814711e-08,0.5621874928474426,0.0,0.6706503033638,0.5153264999389648,0.5137468576431274,0.5145499110221863,-2.4605580457958103e-05,-2.4605580457958103e-05,1.0,1.0,1.0,750,0,18.97018330013247,1.0024102926254272,True,0.6965824887156487,0.5444921875,0.0,0.6965824887156487,0.5085775703191757,0.03308881795965135,0.5165444016456604,5.3560972990140954e-08,0.5444921925663948,0.0,0.6726281270384789,0.5059217363595963,
1250,155.41,0.5065220594406128,0.505535900592804,0.6999588012695312,0.5089386701583862,0.03420184552669525,0.5171009302139282,5.3671087130169326e-08,0.5418750047683716,0.0,0.6685927510261536,0.5065220594406128,0.6979255676269531,0.5084526538848877,0.03249048814177513,0.5162452459335327,5.42026370453641e-08,0.5418750047683716,0.0,0.6715471744537354,0.505535900592804,0.5069595575332642,0.5050075054168701,0.7009129524230957,0.5091570019721985,0.03496282920241356,0.5174813866615295,5.3334296978846396e-08,0.5418750047683716,0.0,0.6672284603118896,0.5069595575332642,0.6968843340873718,0.5081955194473267,0.03157517686486244,0.5157876014709473,5.437176042732972e-08,0.5418750047683716,0.0,0.6730796694755554,0.5050075054168701,0.5073448419570923,0.5044655203819275,0.7018020153045654,0.5093509554862976,0.03563465178012848,0.5178173184394836,5.2968303521083726e-08,0.5418750047683716,0.0,0.6659780740737915,0.5073448419570923,0.6958509683609009,0.5079338550567627,0.03063741885125637,0.5153186917304993,5.446162631983498e-08,0.5418750047683716,0.0,0.6746155619621277,0.5044655203819275,0.5065220594406128,0.505535900592804,2.7136945077373286e-05,2.7136945077373286e-05,1.0,1.0,1.0,750,1,18.970415086038564,1.00277578830719,True,0.697460949420929,0.5454296875,0.0,0.697460949420929,0.5094286724925041,0.03616203414276242,0.51808100938797,6.091937754248988e-08,0.5454296842217445,0.0,0.670063316822052,0.5077481046319008,restore_best_decay_to_0.5
1500,186.231,0.5043135285377502,0.5044581890106201,0.6964095830917358,0.5078541040420532,0.030402641743421555,0.5152013301849365,4.7476184761308104e-08,0.5428125262260437,0.0,0.6742419600486755,0.5043135285377502,0.6970594525337219,0.5079253911972046,0.03066539205610752,0.5153326988220215,4.7195371166708355e-08,0.5428125262260437,0.0,0.6734660267829895,0.5044581890106201,0.5042421221733093,0.5045333504676819,0.6960819959640503,0.5078188180923462,0.03027266263961792,0.5151363611221313,4.763124650253303e-08,0.5428125262260437,0.0,0.6746322512626648,0.5042421221733093,0.6973774433135986,0.5079623460769653,0.030801238492131233,0.5154006481170654,4.707401757286789e-08,0.5428125262260437,0.0,0.673082709312439,0.5045333504676819,0.5041698217391968,0.5046115517616272,0.6957550644874573,0.507783055305481,0.030141348019242287,0.5150706768035889,4.779275997179866e-08,0.5428125262260437,0.0,0.6750227212905884,0.5041698217391968,0.6976878643035889,0.5080005526542664,0.030941860750317574,0.5154709815979004,4.696785538271797e-08,0.5428125262260437,0.0,0.6727044582366943,0.5046115517616272,0.5043135285377502,0.5044581890106201,-2.3484029356096596e-06,-2.3484029356096596e-06,0.5,0.8,0.5,750,0,18.970226341609468,1.0024226903915405,True,0.6966326087713242,0.54296875,0.0,0.6966326087713242,0.5079711377620697,0.030834171921014786,0.5154170840978622,5.897927302100925e-08,0.54296875,0.0,0.6737900823354721,0.5045679621398449,
1750,217.11,0.5043765902519226,0.5049046874046326,0.6967160105705261,0.5078855156898499,0.0305179450660944,0.5152589678764343,7.380856459349161e-08,0.5428125262260437,0.0,0.6738803386688232,0.5043765902519226,0.6978263258934021,0.50813889503479,0.031435076147317886,0.5157175660133362,7.573424198881185e-08,0.5428125262260437,0.0,0.6722897291183472,0.5049046874046326,0.5041061639785767,0.5051612257957458,0.6962096691131592,0.5077568292617798,0.030050387606024742,0.5150251984596252,7.281568059624988e-08,0.5428125262260437,0.0,0.6746329665184021,0.5041061639785767,0.6984266638755798,0.5082628726959229,0.031882647424936295,0.515941321849823,7.666369583603228e-08,0.5428125262260437,0.0,0.6714569330215454,0.5051612257957458,0.5038321614265442,0.5054119229316711,0.6957374811172485,0.5076271295547485,0.029577987268567085,0.5147889852523804,7.180504724146886e-08,0.5428125262260437,0.0,0.6753548979759216,0.5038321614265442,0.6990536451339722,0.5083847641944885,0.03232131525874138,0.5161606669425964,7.756850806117654e-08,0.5428125262260437,0.0,0.6706035137176514,0.5054119229316711,0.5043765902519226,0.5049046874046326,-7.814468584677921e-06,-7.814468584677921e-06,0.5,0.8,0.5,750,1,18.970335871621298,1.0023638010025024,True,0.6941437274217606,0.5499609375,0.0,0.6941437274217606,0.5095357596874237,0.03681007865816355,0.5184050500392914,5.987939211138382e-08,0.5499609410762787,0.0,0.67311742156744,0.508203312754631,best
2000,247.937,0.5076483488082886,0.5077897310256958,0.695356547832489,0.5093156695365906,0.0359257273375988,0.5179628133773804,5.2301594166692666e-08,0.5481250286102295,0.0,0.6723648309707642,0.5076483488082886,0.6953518390655518,0.509381890296936,0.03616108372807503,0.5180805325508118,5.243409262334353e-08,0.5481250286102295,0.0,0.6722351312637329,0.5077897310256958,0.5075710415840149,0.507856547832489,0.6953383088111877,0.5092793107032776,0.035796258598566055,0.5178980827331543,5.224794108471542e-08,0.5481250286102295,0.0,0.6724560260772705,0.5075710415840149,0.6953297257423401,0.5094130635261536,0.036271728575229645,0.5181358456611633,5.251700585517938e-08,0.5481250286102295,0.0,0.6721935272216797,0.507856547832489,0.5074875354766846,0.5079227685928345,0.6953057646751404,0.5092399716377258,0.03565586730837822,0.5178279280662537,5.2199897737637e-08,0.5481250286102295,0.0,0.6725673079490662,0.5074875354766846,0.6952950954437256,0.5094438195228577,0.03638092055916786,0.5181904435157776,5.2613593481964926e-08,0.5481250286102295,0.0,0.6721648573875427,0.5079227685928345,0.5076483488082886,0.5077897310256958,-1.9992972036521304e-06,-1.9992972036521304e-06,0.5,0.8,0.5,1750,0,18.970418443017103,1.0021904706954956,True,0.6936507374048233,0.5518359375,0.0,0.6936507374048233,0.5101388916373253,0.03906736522912979,0.5195336788892746,6.945207742248272e-08,0.5518359392881393,0.0,0.6723961383104324,0.5095675513148308,best
2250,278.799,0.506827712059021,0.506629467010498,0.6966162323951721,0.508988618850708,0.034599971026182175,0.5172999501228333,5.386986501321189e-08,0.5453125238418579,0.0,0.6717725992202759,0.506827712059021,0.6967335343360901,0.5088961720466614,0.03427339345216751,0.5171366930007935,5.366378630355939e-08,0.5453125238418579,0.0,0.6718460321426392,0.506629467010498,0.5069233775138855,0.5065248012542725,0.6965317726135254,0.5090329647064209,0.03475644066929817,0.5173782110214233,5.4005717231575545e-08,0.5453125238418579,0.0,0.6717646718025208,0.5069233775138855,0.6967653632164001,0.5088472366333008,0.034100014716386795,0.51705002784729,5.359092725143455e-08,0.5453125238418579,0.0,0.6719143390655518,0.5065248012542725,0.5070177912712097,0.5064151287078857,0.6964306831359863,0.5090765953063965,0.0349104106426239,0.5174552202224731,5.416487169895845e-08,0.5453125238418579,0.0,0.6717743873596191,0.5070177912712097,0.6967787742614746,0.5087957978248596,0.0339176245033741,0.5169588327407837,5.353607690494755e-08,0.5453125238418579,0.0,0.6720055341720581,0.5064151287078857,0.506827712059021,0.506629467010498,2.6181307123006382e-06,2.6181307123006382e-06,0.5,0.8,0.5,2000,0,18.970527263453786,1.0020687580108643,True,0.6959422454237938,0.546953125,0.0,0.6959422454237938,0.5092785283923149,0.03572569228708744,0.517862856388092,6.57293837136308e-08,0.5469531342387199,0.0,0.6718583032488823,0.5075167194008827,
