step,elapsed_sec,best_agent,best_loss,best_cell_acc,best_board_acc,avg_cell_acc,avg_board_acc,theta_spread,j_plus_1,j_minus_1,j_plus_2,j_minus_2,j_plus_3,j_minus_3,j_plus,j_minus,update_norm,theta_l2,theta_max_abs,theta_finite
1,1.788,0,1.3932122588157654,0.255859375,0.0,0.24993896484375,0.0,0.0007782455068081617,-1.3953955173492432,-1.3958559036254883,-1.3951483964920044,-1.3960844278335571,-1.3948814868927002,-1.3963229656219482,-1.3953955173492432,-1.3958559036254883,0.0010368903167545795,26.36905288696289,1.0000126361846924,True
250,142.263,0,1.3925741612911224,0.260009765625,0.0,0.252197265625,0.0,0.0006391655770130455,-1.390625,-1.3902828693389893,-1.3907885551452637,-1.3901050090789795,-1.3909469842910767,-1.389923334121704,-1.390625,-1.3902828693389893,3.042950811504852e-05,26.36908721923828,1.0002427101135254,True
500,280.457,0,1.3909416794776917,0.262939453125,0.0,0.24908447265625,0.0,0.0005948763573542237,-1.3951081037521362,-1.3957475423812866,-1.394789695739746,-1.3960621356964111,-1.3944764137268066,-1.3963693380355835,-1.3951081037521362,-1.3957475423812866,1.889464328996837e-05,26.369136810302734,1.0003159046173096,True
750,418.848,2,1.3939375579357147,0.25390625,0.0,0.2508544921875,0.0,0.0005646349745802581,-1.400430679321289,-1.400136113166809,-1.4005876779556274,-1.3999998569488525,-1.4007502794265747,-1.3998719453811646,-1.400430679321289,-1.400136113166809,1.3878782738174777e-05,26.37007713317871,1.00228750705719,True
1000,555.287,3,1.3906243741512299,0.26513671875,0.0,0.2535400390625,0.0,0.0005411582533270121,-1.3932702541351318,-1.3937780857086182,-1.3930120468139648,-1.3940263986587524,-1.3927521705627441,-1.394269585609436,-1.3932702541351318,-1.3937780857086182,1.1287004781479482e-05,26.369705200195312,1.0022200345993042,True
1250,692.235,3,1.3959344923496246,0.24560546875,0.0,0.243408203125,0.0,0.0005217886646278203,-1.3943613767623901,-1.39436674118042,-1.3943727016448975,-1.3943836688995361,-1.3943930864334106,-1.3944103717803955,-1.3943613767623901,-1.39436674118042,9.397093890584074e-06,26.369712829589844,1.0021567344665527,True
1500,833.91,2,1.3931598961353302,0.25830078125,0.0,0.25384521484375,0.0,0.0005052151391282678,-1.3911380767822266,-1.390952706336975,-1.3912336826324463,-1.390864372253418,-1.3913301229476929,-1.390779733657837,-1.3911380767822266,-1.390952706336975,8.166020961652976e-06,26.370014190673828,1.0020928382873535,True
1750,977.325,2,1.3945811688899994,0.251953125,0.0,0.24713134765625,0.0,0.0004906908143311739,-1.3953166007995605,-1.395616054534912,-1.3951735496520996,-1.3957734107971191,-1.3950340747833252,-1.3959369659423828,-1.3953166007995605,-1.395616054534912,7.257008292071987e-06,26.369998931884766,1.0020297765731812,True
2000,1120.05,1,1.394099622964859,0.25341796875,0.0,0.2506103515625,0.0,0.0004777386784553528,-1.394167423248291,-1.3941113948822021,-1.394202470779419,-1.394089937210083,-1.394242286682129,-1.3940727710723877,-1.394167423248291,-1.3941113948822021,6.484566711151274e-06,26.370241165161133,1.0023307800292969,True
2250,1262.733,1,1.393273025751114,0.258056640625,0.0,0.25140380859375,0.0,0.00046603797818534076,-1.3946963548660278,-1.394757628440857,-1.3946596384048462,-1.3947832584381104,-1.3946187496185303,-1.394805669784546,-1.3946963548660278,-1.394757628440857,5.893810794077581e-06,26.37022590637207,1.00229811668396,True
2500,1407.124,0,1.394163727760315,0.25,0.0,0.2462158203125,0.0,0.0004553621110972017,-1.3940086364746094,-1.3945167064666748,-1.3937394618988037,-1.3947540521621704,-1.3934614658355713,-1.3949792385101318,-1.3940086364746094,-1.3945167064666748,5.531696388061391e-06,26.36893653869629,1.0005825757980347,True
2750,1553.822,2,1.3951115012168884,0.25048828125,0.0,0.24462890625,0.0,0.000445540965301916,-1.3933382034301758,-1.3934928178787231,-1.3932733535766602,-1.3935824632644653,-1.3932162523269653,-1.3936803340911865,-1.3933382034301758,-1.3934928178787231,5.004651939088944e-06,26.3700008392334,1.0018970966339111,True
3000,1700.706,3,1.3936146199703217,0.254638671875,0.0,0.2510986328125,0.0,0.00043644403922371566,-1.3924980163574219,-1.3925302028656006,-1.3924870491027832,-1.392552375793457,-1.392478585243225,-1.392579436302185,-1.3924980163574219,-1.3925302028656006,4.642100520868553e-06,26.369768142700195,1.0019086599349976,True
3250,1846.848,2,1.3920097649097443,0.26318359375,0.0,0.253173828125,0.0,0.0004279698769096285,-1.3921325206756592,-1.3918616771697998,-1.3922706842422485,-1.3917293548583984,-1.3924102783203125,-1.391599178314209,-1.3921325206756592,-1.3918616771697998,4.36933214587043e-06,26.37006187438965,1.0018378496170044,True
3500,1993.289,3,1.3944922089576721,0.251708984375,0.0,0.24755859375,0.0,0.00042003695853054523,-1.3913023471832275,-1.391127586364746,-1.391405463218689,-1.3910564184188843,-1.3915188312530518,-1.390995740890503,-1.3913023471832275,-1.391127586364746,4.085031378053827e-06,26.369789123535156,1.0018516778945923,True
3750,2139.572,3,1.392759770154953,0.256103515625,0.0,0.24920654296875,0.0,0.00041258023702539504,-1.3979549407958984,-1.3979556560516357,-1.3979607820510864,-1.3979613780975342,-1.397971272468567,-1.3979694843292236,-1.3979549407958984,-1.3979556560516357,3.836965788650559e-06,26.369802474975586,1.0018231868743896,True
4000,2285.623,1,1.3938622772693634,0.25439453125,0.0,0.25177001953125,0.0,0.0004055459867231548,-1.390989065170288,-1.390930414199829,-1.3910138607025146,-1.390896201133728,-1.391035556793213,-1.3908586502075195,-1.390989065170288,-1.390930414199829,3.629085540524102e-06,26.370357513427734,1.0020980834960938,True
4250,2431.781,2,1.3937102854251862,0.25244140625,0.0,0.24774169921875,0.0,0.0003988864191342145,-1.394524097442627,-1.394474744796753,-1.394547700881958,-1.3944510221481323,-1.3945691585540771,-1.3944294452667236,-1.394524097442627,-1.394474744796753,3.441959734118427e-06,26.370166778564453,1.0017995834350586,True
4500,2578.529,0,1.393923670053482,0.25244140625,0.0,0.24945068359375,0.0,0.0003925649798475206,-1.3950016498565674,-1.3947737216949463,-1.3951129913330078,-1.3946560621261597,-1.395222783088684,-1.394536018371582,-1.3950016498565674,-1.3947737216949463,3.295396936664474e-06,26.369022369384766,1.000624418258667,True
