step,elapsed_sec,best_agent,best_loss,best_cell_acc,best_board_acc,avg_cell_acc,avg_board_acc,theta_spread,j_plus_1,j_minus_1,plus1_obj_ce,plus1_obj_prob_true,plus1_obj_margin,plus1_obj_entropy,plus1_objective,minus1_obj_ce,minus1_obj_prob_true,minus1_obj_margin,minus1_obj_entropy,minus1_objective,j_plus_2,j_minus_2,plus2_obj_ce,plus2_obj_prob_true,plus2_obj_margin,plus2_obj_entropy,plus2_objective,minus2_obj_ce,minus2_obj_prob_true,minus2_obj_margin,minus2_obj_entropy,minus2_objective,j_plus_3,j_minus_3,plus3_obj_ce,plus3_obj_prob_true,plus3_obj_margin,plus3_obj_entropy,plus3_objective,minus3_obj_ce,minus3_obj_prob_true,minus3_obj_margin,minus3_obj_entropy,minus3_objective,j_plus,j_minus,update_norm,theta_l2,theta_max_abs,theta_finite
1,1.223,2,1.3871108889579773,0.25048828125,0.0,0.24639892578125,0.0,0.0007793508702889085,0.10591769218444824,0.10615143179893494,1.387450098991394,0.25002774596214294,-0.0536503903567791,1.385048270225525,0.10591769218444824,1.3874475955963135,0.2500152587890625,-0.05119069665670395,1.3850948810577393,0.10615143179893494,0.10580097138881683,0.10626283288002014,1.3874802589416504,0.25003254413604736,-0.05483539029955864,1.385002851486206,0.10580097138881683,1.3874797821044922,0.250007301568985,-0.04996487498283386,1.3850927352905273,0.10626283288002014,0.10568699240684509,0.10628584027290344,1.387526512145996,0.2500365078449249,-0.055968593806028366,1.3849453926086426,0.10568699240684509,1.3875370025634766,0.249998077750206,-0.049585405737161636,1.3850717544555664,0.10628584027290344,0.10591769218444824,0.10615143179893494,0.0010376399150118232,26.375822067260742,1.0031770467758179,True
250,117.682,0,1.386491060256958,0.255859375,0.0,0.2525634765625,0.0,0.0006400741403922439,0.10594233870506287,0.10568901896476746,1.3879647254943848,0.24989335238933563,-0.051545366644859314,1.3851211071014404,0.10594233870506287,1.3881211280822754,0.2498786449432373,-0.053775228559970856,1.3850271701812744,0.10568901896476746,0.10606397688388824,0.10555785894393921,1.387884259223938,0.24990148842334747,-0.050490859895944595,1.385167121887207,0.10606397688388824,1.388196587562561,0.24987216293811798,-0.054946355521678925,1.384979248046875,0.10555785894393921,0.10618184506893158,0.10542421042919159,1.3878023624420166,0.24990999698638916,-0.049479153007268906,1.3852126598358154,0.10618184506893158,1.3882696628570557,0.24986636638641357,-0.05615182965993881,1.3849307298660278,0.10542421042919159,0.10594233870506287,0.10568901896476746,3.043719698325731e-05,26.375045776367188,1.0002632141113281,True
500,234.511,3,1.3874988555908203,0.252685546875,0.0,0.25103759765625,0.0,0.0005957242101430893,0.10438300669193268,0.1047486811876297,1.3907769918441772,0.2492060363292694,-0.0574532113969326,1.3850497007369995,0.10438300669193268,1.3905491828918457,0.24925094842910767,-0.054473403841257095,1.3851103782653809,0.1047486811876297,0.10421298444271088,0.10494337975978851,1.3908933401107788,0.24918398261070251,-0.05881662666797638,1.3850152492523193,0.10421298444271088,1.390439510345459,0.24927359819412231,-0.05286267772316933,1.3851354122161865,0.10494337975978851,0.1040518581867218,0.10514526069164276,1.3910105228424072,0.24916227161884308,-0.06009354814887047,1.384979009628296,0.1040518581867218,1.3903337717056274,0.24929630756378174,-0.0511767603456974,1.3851561546325684,0.10514526069164276,0.10438300669193268,0.1047486811876297,1.8723239918472245e-05,26.375436782836914,1.0020496845245361,True
750,351.375,3,1.3853654265403748,0.2626953125,0.0,0.251220703125,0.0,0.000565440917853266,0.10651017725467682,0.1065775603055954,1.386423110961914,0.2502858638763428,-0.05133374035358429,1.3850774765014648,0.10651017725467682,1.3864996433258057,0.2502703368663788,-0.050428103655576706,1.385063886642456,0.1065775603055954,0.10647605359554291,0.1066107451915741,1.3863894939422607,0.2502930164337158,-0.05178002268075943,1.3850817680358887,0.10647605359554291,1.3865430355072021,0.25026190280914307,-0.049968548119068146,1.3850547075271606,0.1066107451915741,0.10644170641899109,0.10664348304271698,1.3863589763641357,0.2502998113632202,-0.052222080528736115,1.385084867477417,0.10644170641899109,1.3865902423858643,0.25025296211242676,-0.049504417926073074,1.3850436210632324,0.10664348304271698,0.10651017725467682,0.1065775603055954,1.3855430552212056e-05,26.375423431396484,1.0019581317901611,True
1000,468.055,3,1.3870251774787903,0.251953125,0.0,0.2503662109375,0.0,0.0005419290973804891,0.10600070655345917,0.10604842007160187,1.387615442276001,0.24999026954174042,-0.052280113101005554,1.385064959526062,0.10600070655345917,1.3875732421875,0.24999767541885376,-0.05191929265856743,1.3850759267807007,0.10604842007160187,0.10598206520080566,0.1060771495103836,1.387632966041565,0.24998722970485687,-0.05241876840591431,1.3850603103637695,0.10598206520080566,1.3875489234924316,0.2500019669532776,-0.05169930309057236,1.3850820064544678,0.1060771495103836,0.10596708953380585,0.10610891878604889,1.3876477479934692,0.24998469650745392,-0.05252828449010849,1.3850563764572144,0.10596708953380585,1.3875224590301514,0.25000661611557007,-0.05145452171564102,1.3850884437561035,0.10610891878604889,0.10600070655345917,0.10604842007160187,1.1165767318743747e-05,26.375389099121094,1.0018905401229858,True
1250,584.745,2,1.3869150876998901,0.249267578125,0.0,0.246826171875,0.0,0.0005225333734415472,0.10718587040901184,0.10718953609466553,1.3849952220916748,0.25064408779144287,-0.049586933106184006,1.3850553035736084,0.10718587040901184,1.385096549987793,0.2506130337715149,-0.04913840442895889,1.3850727081298828,0.10718953609466553,0.10718685388565063,0.10719446837902069,1.3849475383758545,0.25065878033638,-0.04977162182331085,1.3850467205047607,0.10718685388565063,1.385150671005249,0.25059664249420166,-0.04887109249830246,1.3850812911987305,0.10719446837902069,0.10718946158885956,0.10720160603523254,1.384901762008667,0.2506728768348694,-0.049932342022657394,1.385038137435913,0.10718946158885956,1.3852070569992065,0.2505795955657959,-0.048572931438684464,1.3850899934768677,0.10720160603523254,0.10718587040901184,0.10718953609466553,9.41139387578005e-06,26.37552261352539,1.0025129318237305,True
1500,701.404,0,1.3869261145591736,0.25634765625,0.0,0.25054931640625,0.0,0.0005059355753473938,0.10690130293369293,0.10661566257476807,1.3860127925872803,0.2503846287727356,-0.04882033169269562,1.3850935697555542,0.10690130293369293,1.3859524726867676,0.25041627883911133,-0.05205356329679489,1.3850301504135132,0.10661566257476807,0.10704870522022247,0.10647769272327423,1.386049509048462,0.2503681182861328,-0.04714453965425491,1.3851208686828613,0.10704870522022247,1.3859285116195679,0.25043147802352905,-0.05360937491059303,1.3849945068359375,0.10647769272327423,0.10719902813434601,0.10634297132492065,1.3860909938812256,0.2503511905670166,-0.045430608093738556,1.3851447105407715,0.10719902813434601,1.385908603668213,0.2504462003707886,-0.05512373149394989,1.3849565982818604,0.10634297132492065,0.10690130293369293,0.10661566257476807,8.211164640670177e-06,26.37500762939453,1.0004991292953491,True
1750,818.014,0,1.3864102065563202,0.26123046875,0.0,0.25677490234375,0.0,0.0004913891898468137,0.10527296364307404,0.10493329167366028,1.3894577026367188,0.24952416121959686,-0.05305422842502594,1.3851057291030884,0.10527296364307404,1.3896344900131226,0.24949157238006592,-0.05594827979803085,1.385049819946289,0.10493329167366028,0.10545438528060913,0.10477490723133087,1.3893648386001587,0.24954134225845337,-0.051504649221897125,1.3851344585418701,0.10545438528060913,1.3897180557250977,0.24947616457939148,-0.05729444697499275,1.385022521018982,0.10477490723133087,0.1056436151266098,0.10462406277656555,1.3892688751220703,0.24955908954143524,-0.04988586902618408,1.385163426399231,0.1056436151266098,1.3897982835769653,0.24946138262748718,-0.05857481807470322,1.384995937347412,0.10462406277656555,0.10527296364307404,0.10493329167366028,7.290927896974608e-06,26.374963760375977,1.000529170036316,True
2000,941.131,1,1.3870773613452911,0.25341796875,0.0,0.24542236328125,0.0,0.00047841694322414696,0.10533648729324341,0.10521793365478516,1.3892120122909546,0.24958455562591553,-0.05326872318983078,1.3851087093353271,0.10533648729324341,1.389218807220459,0.2495993971824646,-0.054595790803432465,1.3850467205047607,0.10521793365478516,0.10540685057640076,0.10517050325870514,1.389206051826477,0.24957790970802307,-0.052504491060972214,1.385138988494873,0.10540685057640076,1.389218807220459,0.2496076375246048,-0.05515251308679581,1.3850154876708984,0.10517050325870514,0.10548396408557892,0.1051313728094101,1.3891990184783936,0.24957168102264404,-0.05167808383703232,1.3851683139801025,0.10548396408557892,1.3892159461975098,0.24961647391319275,-0.05563495308160782,1.3849843740463257,0.1051313728094101,0.10533648729324341,0.10521793365478516,6.500672043330269e-06,26.376352310180664,1.0020427703857422,True
2250,1065.239,0,1.386597603559494,0.257568359375,0.0,0.2481689453125,0.0,0.0004666997119784355,0.10687597095966339,0.10697288811206818,1.3855715990066528,0.25050002336502075,-0.05066889524459839,1.385028600692749,0.10687597095966339,1.385538101196289,0.2504890561103821,-0.04962357133626938,1.3851091861724854,0.10697288811206818,0.1068280041217804,0.10702165961265564,1.3855925798416138,0.2505050301551819,-0.051177531480789185,1.3849859237670898,0.1068280041217804,1.3855254650115967,0.25048309564590454,-0.0490889698266983,1.385147213935852,0.10702165961265564,0.10678040981292725,0.10707055032253265,1.385616660118103,0.2505096197128296,-0.05167544633150101,1.384941577911377,0.10678040981292725,1.385515570640564,0.2504768967628479,-0.04854777455329895,1.385183572769165,0.10707055032253265,0.10687597095966339,0.10697288811206818,5.905285433982499e-06,26.374889373779297,1.000586986541748,True
