step,elapsed_sec,j_plus_1,j_minus_1,plus1_obj_ce,plus1_obj_prob_true,plus1_obj_margin,plus1_obj_soft_cell_acc,plus1_obj_soft_board_acc,plus1_obj_hard_cell_acc,plus1_obj_hard_board_acc,plus1_obj_entropy,plus1_objective,minus1_obj_ce,minus1_obj_prob_true,minus1_obj_margin,minus1_obj_soft_cell_acc,minus1_obj_soft_board_acc,minus1_obj_hard_cell_acc,minus1_obj_hard_board_acc,minus1_obj_entropy,minus1_objective,j_plus_2,j_minus_2,plus2_obj_ce,plus2_obj_prob_true,plus2_obj_margin,plus2_obj_soft_cell_acc,plus2_obj_soft_board_acc,plus2_obj_hard_cell_acc,plus2_obj_hard_board_acc,plus2_obj_entropy,plus2_objective,minus2_obj_ce,minus2_obj_prob_true,minus2_obj_margin,minus2_obj_soft_cell_acc,minus2_obj_soft_board_acc,minus2_obj_hard_cell_acc,minus2_obj_hard_board_acc,minus2_obj_entropy,minus2_objective,j_plus_3,j_minus_3,plus3_obj_ce,plus3_obj_prob_true,plus3_obj_margin,plus3_obj_soft_cell_acc,plus3_obj_soft_board_acc,plus3_obj_hard_cell_acc,plus3_obj_hard_board_acc,plus3_obj_entropy,plus3_objective,minus3_obj_ce,minus3_obj_prob_true,minus3_obj_margin,minus3_obj_soft_cell_acc,minus3_obj_soft_board_acc,minus3_obj_hard_cell_acc,minus3_obj_hard_board_acc,minus3_obj_entropy,minus3_objective,j_plus,j_minus,raw_scalar,scalar,lr_scale,eps_scale,scalar_scale,best_step,bad_evals,param_l2,param_max_abs,params_finite,loss,cell_acc,board_acc,obj_ce,obj_prob_true,obj_margin,obj_soft_cell_acc,obj_soft_board_acc,obj_hard_cell_acc,obj_hard_board_acc,obj_entropy,objective,scheduler_event
1,0.597,0.4658350944519043,0.46380653977394104,1.3883905410766602,0.24975991249084473,-0.03498383238911629,0.4825080633163452,0.0029186452738940716,0.2509765625,0.0,1.385227918624878,0.4658350944519043,1.3877067565917969,0.2499840259552002,-0.037814319133758545,0.4810928404331207,0.0028498556930571795,0.2734375,0.0,1.3850394487380981,0.46380653977394104,0.46616610884666443,0.4620895981788635,1.3886836767196655,0.2496623694896698,-0.03452198579907417,0.48273903131484985,0.00293059297837317,0.25,0.0,1.3853158950805664,0.46616610884666443,1.3873389959335327,0.2501072585582733,-0.040211036801338196,0.4798944592475891,0.002792601939290762,0.3056640625,0.0,1.384929895401001,0.4620895981788635,0.4662800431251526,0.4599197208881378,1.3889384269714355,0.24957525730133057,-0.03436687961220741,0.48281657695770264,0.002935783937573433,0.25,0.0,1.3854025602340698,0.4662800431251526,1.386979103088379,0.250233918428421,-0.04324446618556976,0.4783777594566345,0.0027211986016482115,0.328125,0.0,1.3848004341125488,0.4599197208881378,0.4658350944519043,0.46380653977394104,0.002090181623186384,5e-05,1.0,1.0,1.0,0,0,18.96035778097026,1.0000498294830322,True,1.3869124203920364,0.2491455078125,0.0,1.3869124203920364,0.25014108419418335,-0.03498792974278331,0.48250604048371315,0.002918362442869693,0.2491455078125,0.0,1.385142296552658,0.4658608175814152,best
250,19.046,0.4714755713939667,0.47280871868133545,1.3875545263290405,0.24987657368183136,-0.027276478707790375,0.4863617718219757,0.0031185063999146223,0.2109375,0.0,1.3855454921722412,0.4714755713939667,1.387223720550537,0.24994508922100067,-0.025463348254561424,0.487268328666687,0.0031662334222346544,0.267578125,0.0,1.3856064081192017,0.47280871868133545,0.4701721966266632,0.47301995754241943,1.3877017498016357,0.24984855949878693,-0.02906215935945511,0.48546892404556274,0.003072698600590229,0.2001953125,0.0,1.3855078220367432,0.4701721966266632,1.3870384693145752,0.24998515844345093,-0.025183357298374176,0.487408310174942,0.003174157114699483,0.3017578125,0.0,1.3856325149536133,0.47301995754241943,0.4685864746570587,0.47314825654029846,1.387839436531067,0.24982449412345886,-0.03124123066663742,0.484379380941391,0.0030175994616001844,0.1982421875,0.0,1.3854637145996094,0.4685864746570587,1.3868409395217896,0.2500283718109131,-0.025017302483320236,0.48749133944511414,0.0031790947541594505,0.322265625,0.0,1.3856580257415771,0.47314825654029846,0.4714755713939667,0.47280871868133545,-9.306112568332857e-05,-5e-05,1.0,1.0,1.0,1,0,18.960640353860196,1.002297043800354,True,1.3866745382547379,0.2509765625,0.0,1.3866745382547379,0.25008907727897167,-0.02533644437789917,0.487331785261631,0.0031686111469753087,0.2509765625,0.0,1.3855719417333603,0.4729077145457268,best
500,37.526,0.4785750210285187,0.4772633910179138,1.3865876197814941,0.25000011920928955,-0.01766614057123661,0.49116694927215576,0.00338128674775362,0.2392578125,0.0,1.3859986066818237,0.4785750210285187,1.3867825269699097,0.2499697059392929,-0.019429493695497513,0.4902852177619934,0.0033313515596091747,0.2353515625,0.0,1.3859318494796753,0.4772633910179138,0.4791531264781952,0.476493239402771,1.3865007162094116,0.2500133514404297,-0.016890957951545715,0.49155449867248535,0.0034035395365208387,0.23046875,0.0,1.3860290050506592,0.4791531264781952,1.3868898153305054,0.24995271861553192,-0.02046838030219078,0.48976582288742065,0.0033024060539901257,0.2314453125,0.0,1.3858952522277832,0.476493239402771,0.4797057509422302,0.4755992293357849,1.3864212036132812,0.2500251531600952,-0.016150837764143944,0.49192458391189575,0.003424940165132284,0.22265625,0.0,1.3860578536987305,0.4797057509422302,1.387003779411316,0.24993465840816498,-0.021677665412425995,0.4891611933708191,0.003269171342253685,0.2333984375,0.0,1.385856032371521,0.4755992293357849,0.4785750210285187,0.4772633910179138,6.016160486086472e-05,5e-05,1.0,1.0,1.0,250,0,18.961549034408794,1.0024358034133911,True,1.3859672397375107,0.25244140625,0.0,1.3859672397375107,0.2501625381410122,-0.017697636503726244,0.49115118756890297,0.0033807549625635147,0.25244140625,0.0,1.3859692960977554,0.47856584936380386,best
750,55.99,0.4837048649787903,0.48226526379585266,1.3855748176574707,0.25020545721054077,-0.010796013288199902,0.4946019649505615,0.003578810952603817,0.244140625,0.0,1.386187195777893,0.4837048649787903,1.3857313394546509,0.2501799464225769,-0.012718110345304012,0.4936409592628479,0.0035221425350755453,0.2431640625,0.0,1.386138916015625,0.48226526379585266,0.48428040742874146,0.4814770817756653,1.3854864835739136,0.250221848487854,-0.01003030315041542,0.49498483538627625,0.003601660253480077,0.234375,0.0,1.386207103729248,0.48428040742874146,1.3857965469360352,0.25017109513282776,-0.013773364946246147,0.49311330914497375,0.003491402603685856,0.25,0.0,1.3861119747161865,0.4814770817756653,0.4847562313079834,0.4806872308254242,1.3853932619094849,0.25024038553237915,-0.00939841940999031,0.4953007698059082,0.0036206385120749474,0.2333984375,0.0,1.386223316192627,0.4847562313079834,1.3858517408370972,0.2501649558544159,-0.014832605607807636,0.492583692073822,0.0034607653506100178,0.2626953125,0.0,1.3860843181610107,0.4806872308254242,0.4837048649787903,0.48226526379585266,4.98850498179201e-05,4.98850498179201e-05,1.0,1.0,1.0,500,0,18.961944851604216,1.0034188032150269,True,1.3857899606227875,0.2396240234375,0.0,1.3857899606227875,0.25015757977962494,-0.011826176196336746,0.4940869137644768,0.003548837878042832,0.2396240234375,0.0,1.3861663043498993,0.4829326868057251,
1000,74.449,0.4873808026313782,0.48788222670555115,1.3855212926864624,0.25020092725753784,-0.005888588726520538,0.49705570936203003,0.00372487329877913,0.2646484375,0.0,1.3862649202346802,0.4873808026313782,1.3854453563690186,0.25021857023239136,-0.005223515909165144,0.49738824367523193,0.003745049238204956,0.2724609375,0.0,1.3862700462341309,0.48788222670555115,0.4870401918888092,0.4880335032939911,1.3855717182159424,0.2501892149448395,-0.006340973079204559,0.4968295097351074,0.003711235709488392,0.2431640625,0.0,1.3862613439559937,0.4870401918888092,1.38541841506958,0.250224769115448,-0.005023346748203039,0.4974883198738098,0.0037511782720685005,0.2783203125,0.0,1.3862717151641846,0.4880335032939911,0.4866497814655304,0.48813167214393616,1.3856312036514282,0.250175416469574,-0.006859857589006424,0.49657008051872253,0.0036956644617021084,0.244140625,0.0,1.3862569332122803,0.4866497814655304,1.3853979110717773,0.25022947788238525,-0.004893785808235407,0.49755311012268066,0.003755178302526474,0.279296875,0.0,1.3862727880477905,0.48813167214393616,0.4873808026313782,0.48788222670555115,-1.5553860391701107e-05,-1.5553860391701107e-05,1.0,1.0,1.0,500,1,18.961798481074524,1.003365159034729,True,1.3855098187923431,0.2625732421875,0.0,1.3855098187923431,0.2502036765217781,-0.005650414736010134,0.49717479944229126,0.003731985518243164,0.2625732421875,0.0,1.3862659186124802,0.4875594936311245,best
1250,92.902,0.4877067804336548,0.48754844069480896,1.385360598564148,0.25024038553237915,-0.005459950305521488,0.49727004766464233,0.003737984225153923,0.2890625,0.0,1.3862683773040771,0.4877067804336548,1.3854248523712158,0.2502240538597107,-0.005669201724231243,0.49716538190841675,0.0037316977977752686,0.23828125,0.0,1.3862674236297607,0.48754844069480896,0.4868755340576172,0.48643234372138977,1.3853490352630615,0.2502458691596985,-0.006568598560988903,0.4967156946659088,0.0037047325167804956,0.3017578125,0.0,1.3862590789794922,0.4868755340576172,1.385478138923645,0.2502133846282959,-0.007157286629080772,0.49642133712768555,0.0036872681230306625,0.2431640625,0.0,1.3862557411193848,0.48643234372138977,0.48562338948249817,0.4848523736000061,1.3853505849838257,0.2502495348453522,-0.008240288123488426,0.4958798587322235,0.003654919099062681,0.306640625,0.0,1.3862438201904297,0.48562338948249817,1.3855457305908203,0.2502012848854065,-0.009269015863537788,0.4953655004501343,0.003624934935942292,0.2626953125,0.0,1.3862357139587402,0.4848523736000061,0.4877067804336548,0.48754844069480896,6.735513971206025e-06,6.735513971206025e-06,1.0,1.0,1.0,1000,0,18.962100966692915,1.0035595893859863,True,1.3854582905769348,0.2822265625,0.0,1.3854582905769348,0.2502148784697056,-0.004969694069586694,0.49751516059041023,0.0037527342792600393,0.2822265625,0.0,1.386272519826889,0.4880727007985115,best
1500,111.35,0.4873988926410675,0.4877084493637085,1.385457992553711,0.25021764636039734,-0.005864469334483147,0.49706774950027466,0.0037253517657518387,0.310546875,0.0,1.3862669467926025,0.4873988926410675,1.3854477405548096,0.25021636486053467,-0.005458782892674208,0.4972705841064453,0.003738535102456808,0.2353515625,0.0,1.3862704038619995,0.4877084493637085,0.48627781867980957,0.4864557385444641,1.385477066040039,0.25021690130233765,-0.007356158457696438,0.4963219165802002,0.0036802152171730995,0.3193359375,0.0,1.3862560987472534,0.48627781867980957,1.3854596614837646,0.2502143681049347,-0.007131662219762802,0.49643415212631226,0.003688792698085308,0.2177734375,0.0,1.3862603902816772,0.4864557385444641,0.4849603772163391,0.4845561683177948,1.3855036497116089,0.25021541118621826,-0.009113567881286144,0.495443195104599,0.0036277282051742077,0.3251953125,0.0,1.3862406015396118,0.4849603772163391,1.3854851722717285,0.2502114772796631,-0.009673534892499447,0.495163232088089,0.0036139911971986294,0.197265625,0.0,1.3862407207489014,0.4845561683177948,0.4873988926410675,0.4877084493637085,1.0018906762003853e-06,1.0018906762003853e-06,1.0,1.0,1.0,1250,0,18.962054221939106,1.0035383701324463,True,1.385380581021309,0.28271484375,0.0,1.385380581021309,0.2502340115606785,-0.004841859976295382,0.49757906794548035,0.003756639896892011,0.28271484375,0.0,1.3862732201814651,0.48817047849297523,best
1750,129.823,0.4879399240016937,0.48802459239959717,1.3853598833084106,0.2502405047416687,-0.005146298557519913,0.4974268674850464,0.0037469780072569847,0.28515625,0.0,1.3862704038619995,0.4879399240016937,1.3853490352630615,0.2502427101135254,-0.005036440212279558,0.4974817931652069,0.0037506832741200924,0.2998046875,0.0,1.3862706422805786,0.48802459239959717,0.4873689115047455,0.4875528812408447,1.3853769302368164,0.25023770332336426,-0.00590510992333293,0.497047483921051,0.0037238947115838528,0.2626953125,0.0,1.3862653970718384,0.4873689115047455,1.3853552341461182,0.2502419948577881,-0.005665166303515434,0.4971674084663391,0.003731828648597002,0.2900390625,0.0,1.3862663507461548,0.4875528812408447,0.48651406168937683,0.4868108630180359,1.3854014873504639,0.25023388862609863,-0.007042841985821724,0.4964785575866699,0.003689566859975457,0.25,0.0,1.3862570524215698,0.48651406168937683,1.3853691816329956,0.25024011731147766,-0.006654673255980015,0.496672660112381,0.0037022163160145283,0.2939453125,0.0,1.3862593173980713,0.4868108630180359,0.4879399240016937,0.48802459239959717,-2.2760916657774715e-06,-2.2760916657774715e-06,1.0,1.0,1.0,1500,0,18.96223476375108,1.003610372543335,True,1.3852722346782684,0.2938232421875,0.0,1.3852722346782684,0.2502610497176647,-0.004616219433955848,0.49769188836216927,0.0037634297041222453,0.2938232421875,0.0,1.3862735480070114,0.48834196105599403,best
2000,148.281,0.4880087673664093,0.4880310297012329,1.3853949308395386,0.250230610370636,-0.005058366805315018,0.49747079610824585,0.0037503503262996674,0.2998046875,0.0,1.3862711191177368,0.4880087673664093,1.3853610754013062,0.2502392530441284,-0.00502750976011157,0.4974862337112427,0.003750954754650593,0.2861328125,0.0,1.38627290725708,0.4880310297012329,0.48746389150619507,0.4874831736087799,1.385411262512207,0.25022727251052856,-0.005785526242107153,0.49710723757743835,0.003728693351149559,0.3095703125,0.0,1.3862667083740234,0.48746389150619507,1.385345220565796,0.2502443492412567,-0.005757036618888378,0.4971214830875397,0.0037288616877049208,0.275390625,0.0,1.3862690925598145,0.4874831736087799,0.4866905212402344,0.4867329001426697,1.3854260444641113,0.25022467970848083,-0.006817983463406563,0.4965910017490387,0.003697969950735569,0.3037109375,0.0,1.3862608671188354,0.4866905212402344,1.3853310346603394,0.2502500116825104,-0.006757248193025589,0.49662137031555176,0.0036987746134400368,0.259765625,0.0,1.3862613439559937,0.4867329001426697,0.4880087673664093,0.4880310297012329,-2.979400428479883e-07,-2.979400428479883e-07,1.0,1.0,1.0,1750,0,18.962329353636886,1.003470540046692,True,1.3852309584617615,0.3006591796875,0.0,1.3852309584617615,0.25027142465114594,-0.004520966904237866,0.4977395161986351,0.003766298497794196,0.3006591796875,0.0,1.3862736970186234,0.48841429501771927,best
2250,166.724,0.4879235029220581,0.4878731667995453,1.3853309154510498,0.25024598836898804,-0.0051739402115345,0.4974130392074585,0.0037468867376446724,0.2646484375,0.0,1.3862706422805786,0.4879235029220581,1.3855617046356201,0.25018998980522156,-0.005231328308582306,0.49738433957099915,0.0037446459755301476,0.296875,0.0,1.3862724304199219,0.4878731667995453,0.4868338406085968,0.4870126247406006,1.3852311372756958,0.2502719759941101,-0.006630653515458107,0.4966846704483032,0.0037033692933619022,0.2705078125,0.0,1.3862619400024414,0.4868338406085968,1.3856921195983887,0.2501598298549652,-0.006372523494064808,0.49681374430656433,0.003709993325173855,0.3056640625,0.0,1.3862661123275757,0.4870126247406006,0.485257625579834,0.4859590232372284,1.385141134262085,0.25029683113098145,-0.008739881217479706,0.49563005566596985,0.0036408721935003996,0.2734375,0.0,1.3862473964691162,0.485257625579834,1.385832667350769,0.25012820959091187,-0.0077726710587739944,0.496113657951355,0.0036678574979305267,0.3115234375,0.0,1.3862555027008057,0.4859590232372284,0.4879235029220581,0.4878731667995453,-3.603315603173837e-06,-3.603315603173837e-06,1.0,1.0,1.0,2000,0,18.962304775741924,1.0035427808761597,True,1.3851280212402344,0.299072265625,0.0,1.3851280212402344,0.2502969056367874,-0.00431733310688287,0.49784133955836296,0.003772527794353664,0.299072265625,0.0,1.3862739652395248,0.4885696806013584,
