run,family,task,mode,agents,consensus,hidden,time_steps,params,metric_file,rows,last_step,last_phase,last_loss,last_cell_acc,last_board_acc,best_board_step,best_board_acc,best_board_cell_acc,best_cell_step,best_cell_acc,best_missing_step,best_cell_acc_missing
run_adam_lora_50k_b16,adam_pretrain_lora_spsa,sudoku9,adam_lora,2,,512,18,10687300,metrics_adam_lora_spsa.csv,34,11000,lora_spsa,-0.37838444113731384,2.242322905369366e-07,0.3725695675238967,1,0.37258076667785645,0.0001069195568561554,11000,,4500,0.8061247051886793
run_adam_lora_50k_gpu2uuid_b64,adam_pretrain_lora_spsa,sudoku9,adam_lora,2,,512,18,10687300,metrics_adam_lora_spsa.csv,27,7500,lora_spsa,-0.3640842139720917,4.2514463039700405e-07,0.3693866692483425,1,0.3693902939558029,-1.5791505575180054e-05,7500,,4500,0.8102152122641509
run_agentwise_50k,sudoku9_agentwise_spsa,sudoku9,agentwise,2,,512,18,10687300,metrics_agentwise_spsa.csv,14,6500,,nan,0.11217570754716981,0.0,1,0.0,0.11213885613207547,6500,,6500,0.11217570754716981
run_agentwise_50k_stable_gpu3,sudoku9_agentwise_spsa,sudoku9,agentwise,2,,512,18,10687300,metrics_agentwise_spsa.csv,11,5000,,2.2063344419002533,0.1125442216981132,0.0,5000,0.0,0.1125442216981132,5000,,4500,0.11258107311320754
run_maze12_adam_confidence_consensus_a2,adam_consensus,maze12,adam,2,confidence,64,8,64830,metrics.csv,33,8000,adam,0.2220349069684744,0.9137641059027778,0.1435546875,5500,0.1875,0.9161580403645834,6500,0.92193603515625,8000,
run_maze12_adam_confidence_consensus_a4,adam_consensus,maze12,adam,4,confidence,64,8,120188,metrics.csv,9,2000,adam,0.24665736220777035,0.9071587456597222,0.1552734375,1250,0.1640625,0.9105495876736112,250,0.9133368598090278,2000,
run_maze12_adam_no_consensus_a1,adam_no_consensus,maze12,adam,1,mean,64,8,37151,metrics.csv,33,8000,adam,0.21768892370164394,0.9137030707465278,0.1376953125,5500,0.185546875,0.9166598849826388,6500,0.9219902886284722,8000,
run_maze12_param_consensus,parameter_consensus_spsa,maze12,,2,mean,64,12,,metrics.csv,61,15000,,,,,15000,,,15000,,15000,
run_maze12_param_consensus_six,parameter_consensus_spsa,maze12,,2,mean,64,8,,metrics.csv,61,15000,,,,,15000,,,15000,,15000,
run_maze12_param_consensus_six_hybrid,parameter_consensus_spsa,maze12,,2,mean,64,8,,metrics.csv,21,5000,,,,,5000,,,5000,,5000,
run_maze12_param_consensus_six_quality,parameter_consensus_spsa,maze12,,2,mean,64,8,,metrics.csv,3,500,,,,,500,,,500,,500,
run_maze12_single_spsa_boardacc,single_spsa_board_acc,maze12,spsa,1,mean,64,8,37151,metrics.csv,21,5000,,0.6837634146213531,0.8892550998263888,0.119140625,3500,0.15625,0.9212510850694444,3500,0.9212510850694444,5000,
run_maze12_single_spsa_boardacc_sched,single_spsa_board_acc,maze12,spsa,1,mean,64,8,37151,metrics.csv,12,2750,,0.7198193073272705,0.3639662000868056,0.0,2250,0.0,0.3759833441840278,2250,0.3759833441840278,2750,
run_maze12_single_spsa_boardacc_warmup_quality,single_spsa_warmup_then_board_acc,maze12,spsa,1,mean,64,8,37151,metrics.csv,49,12000,,0.666980691254139,0.6383192274305556,0.0,3500,0.0,0.6435004340277778,3500,0.6435004340277778,12000,
run_maze12_single_spsa_boardcell,single_spsa_board_cell,maze12,spsa,1,mean,64,8,37151,metrics.csv,21,5000,,0.6996415704488754,0.3484293619791667,0.0,3000,0.0,0.3851860894097222,3000,0.3851860894097222,5000,
run_maze12_single_spsa_quality,single_spsa_quality,maze12,spsa,1,mean,64,8,37151,metrics.csv,21,5000,,0.6276821345090866,0.6245388454861112,0.0,1250,0.15625,0.9100341796875,1250,0.9100341796875,5000,
run_maze12_single_spsa_quality_sched,single_spsa_quality,maze12,spsa,1,mean,64,8,37151,metrics.csv,29,7000,,0.6644375547766685,0.6264444986979166,0.0,5000,0.0,0.64398193359375,5000,0.64398193359375,7000,
run_nonogram5_param_consensus,parameter_consensus_spsa,nonogram5,,2,mean,64,8,,metrics.csv,61,15000,,,,,15000,,,15000,,15000,
run_nonogram5_param_consensus_six,parameter_consensus_spsa,nonogram5,,2,mean,64,8,,metrics.csv,61,15000,,,,,15000,,,15000,,15000,
run_nonogram5_param_consensus_six_hybrid,parameter_consensus_spsa,nonogram5,,2,mean,64,8,,metrics.csv,21,5000,,,,,5000,,,5000,,5000,
run_nonogram5_param_consensus_six_quality,parameter_consensus_spsa,nonogram5,,2,mean,64,8,,metrics.csv,5,1000,,,,,1000,,,1000,,1000,
run_nonogram5_single_spsa_boardcell,single_spsa_board_cell,nonogram5,spsa,1,mean,64,8,29727,metrics.csv,21,5000,,0.6954088062047958,0.455703125,0.0,5000,0.0,0.455703125,5000,0.455703125,5000,
run_nonogram5_single_spsa_quality,single_spsa_quality,nonogram5,spsa,1,mean,64,8,29727,metrics.csv,21,5000,,0.7078550010919571,0.546796875,0.0,750,0.0,0.559140625,750,0.559140625,5000,
